representation,context_id,eta_name,selected_beta,oracle_beta,true_rank,exact,top3,top5,Q_excess_eta,beta_changed_vs_learned_balanced,target_improved,target_tied,target_worsened,delta_target_regret,delta_other_regret_mean
semantic_only,rough_seed_0,balanced,lm000_ls080_le020,lm100_ls000_le000,4,0,0,1,0.041768950939877314,0,0,1,0,0.0,0.0
semantic_only,rough_seed_0,motion_biased,lm040_ls040_le020,lm100_ls000_le000,9,0,0,0,0.1568454704921372,1,1,0,0,-0.1194224784503789,0.41402470586315454
semantic_only,rough_seed_0,stability_biased,lm000_ls060_le040,lm000_ls060_le040,1,1,1,1,0.0,1,1,0,0,-0.7161860735987696,0.3507976091406726
semantic_only,rough_seed_0,energy_biased,lm000_ls080_le020,lm100_ls000_le000,4,0,0,1,0.07189017448984372,0,0,1,0,0.0,0.0
semantic_only,rough_seed_10,balanced,lm020_ls060_le020,lm060_ls020_le020,11,0,0,0,0.16616924550813755,0,0,1,0,0.0,0.0
semantic_only,rough_seed_10,motion_biased,lm100_ls000_le000,lm080_ls020_le000,3,0,1,1,0.07178136053531575,1,1,0,0,-0.28019045363045275,-0.04185882066924029
semantic_only,rough_seed_10,stability_biased,lm020_ls060_le020,lm040_ls000_le060,14,0,0,0,0.10968641268859117,0,0,1,0,0.0,0.0
semantic_only,rough_seed_10,energy_biased,lm020_ls060_le020,lm080_ls020_le000,14,0,0,0,0.4923379049792166,0,0,1,0,0.0,0.0
semantic_only,rough_seed_11,balanced,lm060_ls020_le020,lm020_ls080_le000,8,0,0,0,0.6683812919492886,0,0,1,0,0.0,0.0
semantic_only,rough_seed_11,motion_biased,lm000_ls100_le000,lm100_ls000_le000,6,0,0,0,0.5540408865442786,1,1,0,0,-1.8607200449920263,-1.4615540307443886
semantic_only,rough_seed_11,stability_biased,lm040_ls000_le060,lm020_ls080_le000,16,0,0,0,0.588297848127253,1,0,0,1,0.274203492079469,1.944611219013317
semantic_only,rough_seed_11,energy_biased,lm100_ls000_le000,lm000_ls100_le000,3,0,1,1,0.547591313806471,1,1,0,0,-1.67081800010976,-1.0701339012784052
semantic_only,rough_seed_12,balanced,lm000_ls020_le080,lm100_ls000_le000,20,0,0,0,0.6626845282046525,0,0,1,0,0.0,0.0
semantic_only,rough_seed_12,motion_biased,lm000_ls020_le080,lm100_ls000_le000,20,0,0,0,1.9284009572569336,0,0,1,0,0.0,0.0
semantic_only,rough_seed_12,stability_biased,lm000_ls020_le080,lm040_ls040_le020,17,0,0,0,1.1574916552724548,0,0,1,0,0.0,0.0
semantic_only,rough_seed_12,energy_biased,lm000_ls020_le080,lm100_ls000_le000,13,0,0,0,0.9608622569843817,0,0,1,0,0.0,0.0
semantic_only,rough_seed_13,balanced,lm000_ls080_le020,lm080_ls020_le000,20,0,0,0,0.1761300907969755,0,0,1,0,0.0,0.0
semantic_only,rough_seed_13,motion_biased,lm000_ls080_le020,lm080_ls020_le000,10,0,0,0,0.11394799737981154,0,0,1,0,0.0,0.0
semantic_only,rough_seed_13,stability_biased,lm000_ls080_le020,lm040_ls060_le000,20,0,0,0,0.7513727005538565,0,0,1,0,0.0,0.0
semantic_only,rough_seed_13,energy_biased,lm000_ls080_le020,lm040_ls000_le060,21,0,0,0,0.6159491028628588,0,0,1,0,0.0,0.0
semantic_only,rough_seed_15,balanced,lm000_ls000_le100,lm060_ls040_le000,21,0,0,0,0.40666745016513184,0,0,1,0,0.0,0.0
semantic_only,rough_seed_15,motion_biased,lm100_ls000_le000,lm040_ls060_le000,4,0,0,1,0.024899701771312427,1,1,0,0,-1.5259829420897315,-0.6393612051809644
semantic_only,rough_seed_15,stability_biased,lm000_ls000_le100,lm000_ls040_le060,14,0,0,0,0.2996161401832615,0,0,1,0,0.0,0.0
semantic_only,rough_seed_15,energy_biased,lm000_ls000_le100,lm000_ls080_le020,21,0,0,0,0.9982572573401272,0,0,1,0,0.0,0.0
semantic_only,rough_seed_17,balanced,lm000_ls060_le040,lm100_ls000_le000,15,0,0,0,0.32235901837288294,0,0,1,0,0.0,0.0
semantic_only,rough_seed_17,motion_biased,lm000_ls040_le060,lm100_ls000_le000,16,0,0,0,1.5411858593305474,1,0,0,1,1.0895587886765292,1.4079721429161436
semantic_only,rough_seed_17,stability_biased,lm060_ls020_le020,lm100_ls000_le000,9,0,0,0,0.41667141907902794,1,0,0,1,0.32230723012629237,-0.6931459079437876
semantic_only,rough_seed_17,energy_biased,lm040_ls040_le020,lm020_ls060_le020,6,0,0,0,0.14157426751396068,1,1,0,0,-0.7999517916596321,-0.06728054045056098
semantic_only,rough_seed_18,balanced,lm000_ls100_le000,lm000_ls100_le000,1,1,1,1,0.0,0,0,1,0,0.0,0.0
semantic_only,rough_seed_18,motion_biased,lm020_ls080_le000,lm000_ls100_le000,2,0,1,1,0.39632198195516743,1,0,0,1,0.13295314203307265,1.4345642175296516
semantic_only,rough_seed_18,stability_biased,lm000_ls100_le000,lm040_ls040_le020,3,0,1,1,0.5539999999999999,0,0,1,0,0.0,0.0
semantic_only,rough_seed_18,energy_biased,lm000_ls000_le100,lm000_ls100_le000,19,0,0,0,5.608999356124136,1,0,0,1,8.059654563434307,20.274526592027314
semantic_only,rough_seed_20,balanced,lm020_ls060_le020,lm000_ls060_le040,8,0,0,0,0.08411437797422855,0,0,1,0,0.0,0.0
semantic_only,rough_seed_20,motion_biased,lm100_ls000_le000,lm080_ls000_le020,6,0,0,0,0.046017547975247694,1,1,0,0,-0.1594534693720365,0.46515940120291555
semantic_only,rough_seed_20,stability_biased,lm020_ls060_le020,lm000_ls040_le060,13,0,0,0,0.4804911928791963,0,0,1,0,0.0,0.0
semantic_only,rough_seed_20,energy_biased,lm000_ls080_le020,lm060_ls020_le020,2,0,1,1,0.025414666986071643,1,1,0,0,-0.17090737395233924,0.036236371620079005
semantic_only,rough_seed_22,balanced,lm000_ls060_le040,lm040_ls040_le020,10,0,0,0,0.1894274549107057,0,0,1,0,0.0,0.0
semantic_only,rough_seed_22,motion_biased,lm040_ls060_le000,lm080_ls020_le000,4,0,0,1,0.051958392068405274,1,1,0,0,-1.0527169737214535,0.9389609666871159
