representation,eta_name,contexts,beta_changed_fraction,Q_excess_mean,Q_excess_median,Q_excess_p95,exact_fraction,top3_fraction,top5_fraction,target_improved_count,target_tied_count,target_worsened_count,mean_delta_target_regret,mean_delta_other_regret
semantic_only,balanced,18,0.0,0.9605589075834688,0.17655438186289862,4.335675656971183,0.1111111111111111,0.1111111111111111,0.2222222222222222,,,,,
semantic_only,motion_biased,18,0.6111111111111112,0.32024160302847826,0.06186987630186051,1.5992681240195048,0.05555555555555555,0.3333333333333333,0.6111111111111112,9,7,2,-2.111902524429316,-0.30829695589239253
semantic_only,stability_biased,18,0.6111111111111112,0.794436922001434,0.4556026149300283,2.9672350792463917,0.1111111111111111,0.2222222222222222,0.2777777777777778,4,7,7,-0.25587809151991014,0.3026188004792403
semantic_only,energy_biased,18,0.5555555555555556,0.9335719586194592,0.4682622823360413,4.121074781300481,0.0,0.2777777777777778,0.3888888888888889,5,8,5,0.267136688864532,0.33798198355041725
semantic_plus_probe,balanced,18,0.0,0.2704263260869022,0.14956663087859332,0.9105987130788006,0.1111111111111111,0.3333333333333333,0.5,,,,,
semantic_plus_probe,motion_biased,18,0.7777777777777778,0.28141161955599026,0.05859083290736843,1.293756920057471,0.16666666666666666,0.5,0.5,12,4,2,-0.29357300551974036,-0.13074164660973378
semantic_plus_probe,stability_biased,18,0.4444444444444444,0.822991397063164,0.3560098944446567,3.3576010356590325,0.05555555555555555,0.1111111111111111,0.1111111111111111,4,10,4,0.039715740205594,1.0711583969362124
semantic_plus_probe,energy_biased,18,0.3333333333333333,0.5385217060638813,0.3456526799645532,2.0265617888226313,0.0,0.16666666666666666,0.4444444444444444,4,12,2,-0.06483702195164784,0.0726238799415109
semantic_plus_prop_probe,balanced,18,0.0,0.28189588684619404,0.10500140658629668,1.0217265202178538,0.16666666666666666,0.3333333333333333,0.4444444444444444,,,,,
semantic_plus_prop_probe,motion_biased,18,0.6111111111111112,0.2832161184083466,0.052999307710229704,1.1756782880369596,0.16666666666666666,0.3888888888888889,0.6111111111111112,8,7,3,-0.36541925235660666,0.1579668141308346
semantic_plus_prop_probe,stability_biased,18,0.5,0.39120617786965506,0.23407557051431088,1.1361663272976341,0.16666666666666666,0.2777777777777778,0.3333333333333333,5,9,4,-0.16763018583442169,0.03746190020789122
semantic_plus_prop_probe,energy_biased,18,0.6666666666666666,0.8743734104600932,0.5047277359055502,2.9446221154595054,0.05555555555555555,0.3333333333333333,0.4444444444444444,5,6,7,0.12063739828620552,1.2638038945193646
