representation,held_context,eta_name,oracle_beta,learned_beta,baseline_beta,learned_rank,baseline_rank,learned_Q_excess,baseline_Q_excess,learned_beats_baseline,learned_ties_baseline,learned_worse_baseline,learned_exact,learned_top3,learned_top5
semantic_only,rough_seed_13,balanced,lm080_ls020_le000,lm000_ls080_le020,lm080_ls020_le000,20,1,0.1761300907969755,0.0,0,0,1,0,0,0
semantic_only,rough_seed_13,motion_biased,lm080_ls020_le000,lm000_ls080_le020,lm080_ls020_le000,10,1,0.11394799737981154,0.0,0,0,1,0,0,0
semantic_only,rough_seed_13,stability_biased,lm040_ls060_le000,lm000_ls080_le020,lm080_ls020_le000,20,6,0.7513727005538565,0.2576064893087705,0,0,1,0,0,0
semantic_only,rough_seed_13,energy_biased,lm040_ls000_le060,lm000_ls080_le020,lm100_ls000_le000,21,19,0.6159491028628588,0.5973903235713229,0,0,1,0,0,0
semantic_only,rough_seed_7,balanced,lm000_ls060_le040,lm100_ls000_le000,lm080_ls020_le000,6,13,0.03784085474337451,0.11426225020779207,1,0,0,0,0,0
semantic_only,rough_seed_7,motion_biased,lm000_ls100_le000,lm100_ls000_le000,lm080_ls020_le000,2,4,0.007110061757766156,0.04173637857875327,1,0,0,0,1,1
semantic_only,rough_seed_7,stability_biased,lm020_ls020_le060,lm060_ls000_le040,lm080_ls020_le000,19,3,0.556625271143758,0.12887637281230643,0,0,1,0,0,0
semantic_only,rough_seed_7,energy_biased,lm020_ls020_le060,lm080_ls000_le020,lm100_ls000_le000,16,15,0.44418665969286597,0.3949767223636602,0,0,1,0,0,0
semantic_only,rough_seed_15,balanced,lm060_ls040_le000,lm000_ls000_le100,lm080_ls020_le000,21,2,0.40666745016513184,0.0068616204234064615,0,0,1,0,0,0
semantic_only,rough_seed_15,motion_biased,lm040_ls060_le000,lm100_ls000_le000,lm080_ls020_le000,4,2,0.024899701771312427,0.00406380128866983,0,0,1,0,0,1
semantic_only,rough_seed_15,stability_biased,lm000_ls040_le060,lm000_ls000_le100,lm020_ls080_le000,14,15,0.2996161401832615,0.46798225740402966,1,0,0,0,0,0
semantic_only,rough_seed_15,energy_biased,lm000_ls080_le020,lm000_ls000_le100,lm100_ls000_le000,21,10,0.9982572573401272,0.27508491358795106,0,0,1,0,0,0
semantic_only,rough_seed_0,balanced,lm100_ls000_le000,lm000_ls080_le020,lm080_ls020_le000,4,10,0.041768950939877314,0.1191408580715218,1,0,0,0,0,1
semantic_only,rough_seed_0,motion_biased,lm100_ls000_le000,lm040_ls040_le020,lm080_ls020_le000,9,3,0.1568454704921372,0.05303508557669458,0,0,1,0,0,0
semantic_only,rough_seed_0,stability_biased,lm000_ls060_le040,lm000_ls060_le040,lm080_ls020_le000,1,14,0.0,0.5967024525826499,1,0,0,1,1,1
semantic_only,rough_seed_0,energy_biased,lm100_ls000_le000,lm000_ls080_le020,lm080_ls020_le000,4,7,0.07189017448984372,0.24551011153872238,1,0,0,0,0,1
semantic_only,rough_seed_5,balanced,lm060_ls020_le020,lm000_ls060_le040,lm080_ls020_le000,17,7,0.13689095642851945,0.04604145419202896,0,0,1,0,0,0
semantic_only,rough_seed_5,motion_biased,lm100_ls000_le000,lm080_ls000_le020,lm080_ls020_le000,11,4,0.13264142087106134,0.0050143624435080025,0,0,1,0,0,0
semantic_only,rough_seed_5,stability_biased,lm020_ls040_le040,lm020_ls040_le040,lm080_ls020_le000,1,17,0.0,0.38181571957820637,1,0,0,1,1,1
semantic_only,rough_seed_5,energy_biased,lm060_ls020_le020,lm000_ls060_le040,lm100_ls000_le000,19,8,0.6164656489741572,0.0831771258790878,0,0,1,0,0,0
semantic_only,rough_seed_11,balanced,lm020_ls080_le000,lm060_ls020_le020,lm080_ls020_le000,8,4,0.6683812919492886,0.03577286759580989,0,0,1,0,0,0
semantic_only,rough_seed_11,motion_biased,lm100_ls000_le000,lm000_ls100_le000,lm080_ls020_le000,6,2,0.5540408865442786,0.0007254509276770627,0,0,1,0,0,0
semantic_only,rough_seed_11,stability_biased,lm020_ls080_le000,lm040_ls000_le060,lm080_ls020_le000,16,12,0.588297848127253,0.5594708499340446,0,0,1,0,0,0
semantic_only,rough_seed_11,energy_biased,lm000_ls100_le000,lm100_ls000_le000,lm100_ls000_le000,3,3,0.547591313806471,0.547591313806471,0,1,0,0,1,1
semantic_only,rough_seed_4,balanced,lm020_ls080_le000,lm000_ls080_le020,lm080_ls020_le000,11,4,10.634846983014494,0.167424333212578,0,0,1,0,0,0
semantic_only,rough_seed_4,motion_biased,lm020_ls080_le000,lm000_ls100_le000,lm080_ls020_le000,4,3,0.6290113757007559,0.07501137570075601,0,0,1,0,0,1
semantic_only,rough_seed_4,stability_biased,lm000_ls100_le000,lm000_ls080_le020,lm080_ls020_le000,11,5,4.713767588125408,0.5569999999999999,0,0,1,0,0,0
semantic_only,rough_seed_4,energy_biased,lm020_ls080_le000,lm000_ls100_le000,lm100_ls000_le000,3,6,0.042972960747891364,0.612047628198621,1,0,0,0,1,1
semantic_only,rough_seed_25,balanced,lm040_ls040_le020,lm100_ls000_le000,lm080_ls020_le000,4,8,0.17697867292882175,0.2333729512036904,1,0,0,0,0,1
semantic_only,rough_seed_25,motion_biased,lm080_ls000_le020,lm100_ls000_le000,lm080_ls020_le000,2,6,0.007966230981075031,0.033524854073517504,1,0,0,0,1,1
semantic_only,rough_seed_25,stability_biased,lm060_ls000_le040,lm040_ls040_le020,lm080_ls020_le000,3,13,0.05763094158373107,0.5483958397848061,1,0,0,0,1,1
semantic_only,rough_seed_25,energy_biased,lm040_ls040_le020,lm100_ls000_le000,lm100_ls000_le000,2,2,0.060503759923311584,0.060503759923311584,0,1,0,0,1,1
semantic_only,rough_seed_12,balanced,lm100_ls000_le000,lm000_ls020_le080,lm080_ls020_le000,20,10,0.6626845282046525,0.27336439191352324,0,0,1,0,0,0
semantic_only,rough_seed_12,motion_biased,lm100_ls000_le000,lm000_ls020_le080,lm080_ls020_le000,20,3,1.9284009572569336,0.12323315961884831,0,0,1,0,0,0
semantic_only,rough_seed_12,stability_biased,lm040_ls040_le020,lm000_ls020_le080,lm080_ls020_le000,17,15,1.1574916552724548,1.1194319712830678,0,0,1,0,0,0
semantic_only,rough_seed_12,energy_biased,lm100_ls000_le000,lm000_ls020_le080,lm080_ls020_le000,13,14,0.9608622569843817,0.9895874923976087,1,0,0,0,0,0
semantic_only,rough_seed_6,balanced,lm000_ls080_le020,lm100_ls000_le000,lm080_ls020_le000,11,14,0.14161293884355156,0.19646303752110775,1,0,0,0,0,0
semantic_only,rough_seed_6,motion_biased,lm020_ls080_le000,lm100_ls000_le000,lm080_ls020_le000,5,6,0.03921084476348394,0.06378750170648817,1,0,0,0,0,1
semantic_only,rough_seed_6,stability_biased,lm000_ls060_le040,lm020_ls080_le000,lm080_ls020_le000,12,21,0.31755134628514686,0.6144933657514767,1,0,0,0,0,0
semantic_only,rough_seed_6,energy_biased,lm040_ls060_le000,lm100_ls000_le000,lm080_ls020_le000,2,8,0.004972483206469827,0.2931492573234983,1,0,0,0,1,1
semantic_only,rough_seed_29,balanced,lm060_ls040_le000,lm100_ls000_le000,lm080_ls020_le000,7,3,0.22013033405235882,0.01807345113361848,0,0,1,0,0,0
semantic_only,rough_seed_29,motion_biased,lm060_ls040_le000,lm100_ls000_le000,lm080_ls020_le000,2,4,0.021308297543392918,0.15487168492320835,1,0,0,0,1,1
semantic_only,rough_seed_29,stability_biased,lm080_ls020_le000,lm020_ls000_le080,lm080_ls020_le000,16,1,1.1071073636151358,0.0,0,0,1,0,0,0
semantic_only,rough_seed_29,energy_biased,lm080_ls000_le020,lm000_ls080_le020,lm100_ls000_le000,9,11,0.28098249667219455,0.5558651539577645,1,0,0,0,0,0
semantic_only,rough_seed_18,balanced,lm000_ls100_le000,lm000_ls100_le000,lm080_ls020_le000,1,8,0.0,1.6530904404215563,1,0,0,1,1,1
semantic_only,rough_seed_18,motion_biased,lm000_ls100_le000,lm020_ls080_le000,lm080_ls020_le000,2,8,0.39632198195516743,0.7482497464283054,1,0,0,0,1,1
semantic_only,rough_seed_18,stability_biased,lm040_ls040_le020,lm000_ls100_le000,lm080_ls020_le000,3,8,0.5539999999999999,4.008310195358528,1,0,0,0,1,1
semantic_only,rough_seed_18,energy_biased,lm000_ls100_le000,lm000_ls000_le100,lm100_ls000_le000,19,11,5.608999356124136,2.622873817942152,0,0,1,0,0,0
semantic_only,rough_seed_10,balanced,lm060_ls020_le020,lm020_ls060_le020,lm080_ls020_le000,11,5,0.16616924550813755,0.04660870274838702,0,0,1,0,0,0
semantic_only,rough_seed_10,motion_biased,lm080_ls020_le000,lm100_ls000_le000,lm080_ls020_le000,3,1,0.07178136053531575,0.0,0,0,1,0,1,1
semantic_only,rough_seed_10,stability_biased,lm040_ls000_le060,lm020_ls060_le020,lm080_ls020_le000,14,15,0.10968641268859117,0.17602207741313627,1,0,0,0,0,0
semantic_only,rough_seed_10,energy_biased,lm080_ls020_le000,lm020_ls060_le020,lm100_ls000_le000,14,4,0.4923379049792166,0.07278475262244571,0,0,1,0,0,0
semantic_only,rough_seed_8,balanced,lm080_ls020_le000,lm080_ls020_le000,lm080_ls020_le000,1,1,0.0,0.0,0,1,0,1,1,1
semantic_only,rough_seed_8,motion_biased,lm080_ls020_le000,lm080_ls020_le000,lm080_ls020_le000,1,1,0.0,0.0,0,1,0,1,1,1
semantic_only,rough_seed_8,stability_biased,lm080_ls020_le000,lm020_ls040_le040,lm080_ls020_le000,11,1,0.4307140369808603,0.0,0,0,1,0,0,0
semantic_only,rough_seed_8,energy_biased,lm040_ls060_le000,lm000_ls100_le000,lm080_ls020_le000,15,4,1.7348939282183722,0.554459329261933,0,0,1,0,0,0
semantic_only,rough_seed_22,balanced,lm040_ls040_le020,lm000_ls060_le040,lm080_ls020_le000,10,6,0.1894274549107057,0.14102356059836776,0,0,1,0,0,0
semantic_only,rough_seed_22,motion_biased,lm080_ls020_le000,lm040_ls060_le000,lm080_ls020_le000,4,1,0.051958392068405274,0.0,0,0,1,0,0,1
semantic_only,rough_seed_22,stability_biased,lm040_ls020_le040,lm000_ls040_le060,lm080_ls020_le000,5,16,0.09981721947567715,0.5499283318018938,1,0,0,0,0,1
semantic_only,rough_seed_22,energy_biased,lm040_ls020_le040,lm000_ls080_le020,lm100_ls000_le000,5,9,0.297941160296332,0.5569999999999999,1,0,0,0,0,1
semantic_only,rough_seed_20,balanced,lm000_ls060_le040,lm020_ls060_le020,lm080_ls020_le000,8,12,0.08411437797422855,0.14667944598463062,1,0,0,0,0,0
