representation,eta_name,contexts,learned_Q_excess_mean,learned_Q_excess_median,learned_Q_excess_p95,baseline_Q_excess_mean,baseline_Q_excess_median,learned_minus_baseline_mean,beat_tie_worse,exact_fraction,top3_fraction,top5_fraction
semantic_only,balanced,18,0.9605589075834686,0.17655438186289862,4.335675656971183,0.1998418525268314,0.1300822093349448,0.7607170550566374,6/1/11,0.1111111111111111,0.1111111111111111,0.2222222222222222
semantic_only,motion_biased,18,0.32024160302847826,0.06186987630186051,1.5992681240195048,0.08077933508077832,0.03763061632613539,0.23946226794769995,6/1/11,0.05555555555555555,0.3333333333333333,0.6111111111111112
semantic_only,stability_biased,18,0.794436922001434,0.4556026149300283,2.9672350792463917,0.6333196622023638,0.5081890485944178,0.1611172597990702,10/0/8,0.1111111111111111,0.2222222222222222,0.2777777777777778
semantic_only,energy_biased,18,0.9335719586194592,0.4682622823360413,4.121074781300481,0.5631097364105113,0.551025321534202,0.37046222220894787,8/2/8,0.0,0.2777777777777778,0.3888888888888889
semantic_plus_probe,balanced,18,0.2704263260869022,0.14956663087859332,0.9105987130788006,0.1998418525268314,0.1300822093349448,0.07058447356007086,9/0/9,0.1111111111111111,0.3333333333333333,0.5
semantic_plus_probe,motion_biased,18,0.28141161955599026,0.05859083290736843,1.293756920057471,0.08077933508077832,0.03763061632613539,0.20063228447521197,7/2/9,0.16666666666666666,0.5,0.5
semantic_plus_probe,stability_biased,18,0.822991397063164,0.3560098944446567,3.3576010356590325,0.6333196622023638,0.5081890485944178,0.18967173486080033,10/0/8,0.05555555555555555,0.1111111111111111,0.1111111111111111
semantic_plus_probe,energy_biased,18,0.5385217060638813,0.3456526799645532,2.0265617888226313,0.5631097364105113,0.551025321534202,-0.02458803034663007,10/1/7,0.0,0.16666666666666666,0.4444444444444444
semantic_plus_prop_probe,balanced,18,0.281895886846194,0.10500140658629668,1.0217265202178538,0.1998418525268314,0.1300822093349448,0.08205403431936265,9/1/8,0.16666666666666666,0.3333333333333333,0.4444444444444444
semantic_plus_prop_probe,motion_biased,18,0.28321611840834654,0.052999307710229704,1.1756782880369596,0.08077933508077832,0.03763061632613539,0.20243678332756823,6/2/10,0.16666666666666666,0.3888888888888889,0.6111111111111112
semantic_plus_prop_probe,stability_biased,18,0.391206177869655,0.23407557051431088,1.1361663272976341,0.6333196622023638,0.5081890485944178,-0.24211348433270866,13/1/4,0.16666666666666666,0.2777777777777778,0.3333333333333333
semantic_plus_prop_probe,energy_biased,18,0.8743734104600932,0.5047277359055502,2.9446221154595054,0.5631097364105113,0.551025321534202,0.31126367404958183,6/5/7,0.05555555555555555,0.3333333333333333,0.4444444444444444
