representation,held_context,context_dim,model_input_dim,shared_param_count,factorized_param_count,factorized_over_shared,rho_regret_motion,rho_regret_stability,rho_regret_energy,final_mse_motion,final_mse_stability,final_mse_energy,balanced_oracle_beta,balanced_selected_beta,balanced_baseline_beta,balanced_Q_excess,balanced_baseline_Q_excess,balanced_rank,balanced_beats_baseline,balanced_ties_baseline,balanced_worse_baseline,motion_biased_oracle_beta,motion_biased_selected_beta,motion_biased_baseline_beta,motion_biased_Q_excess,motion_biased_baseline_Q_excess,motion_biased_rank,motion_biased_beats_baseline,motion_biased_ties_baseline,motion_biased_worse_baseline,stability_biased_oracle_beta,stability_biased_selected_beta,stability_biased_baseline_beta,stability_biased_Q_excess,stability_biased_baseline_Q_excess,stability_biased_rank,stability_biased_beats_baseline,stability_biased_ties_baseline,stability_biased_worse_baseline,energy_biased_oracle_beta,energy_biased_selected_beta,energy_biased_baseline_beta,energy_biased_Q_excess,energy_biased_baseline_Q_excess,energy_biased_rank,energy_biased_beats_baseline,energy_biased_ties_baseline,energy_biased_worse_baseline
semantic_only,rough_seed_13,74,77,9347,9075,0.9708997539317428,0.8597402597402597,0.0012987012987012987,-0.525974025974026,0.015005308203399181,0.030920131132006645,0.06051872298121452,lm080_ls020_le000,lm000_ls100_le000,lm080_ls020_le000,0.03270896035207965,0.0,8,0,0,1,lm080_ls020_le000,lm000_ls100_le000,lm080_ls020_le000,0.07115253433137764,0.0,8,0,0,1,lm040_ls060_le000,lm000_ls100_le000,lm080_ls020_le000,0.00651366772889686,0.2576064893087705,2,1,0,0,lm040_ls000_le060,lm000_ls080_le020,lm100_ls000_le000,0.6159491028628588,0.5973903235713229,21,0,0,1
semantic_only,rough_seed_7,74,77,9347,9075,0.9708997539317428,-0.2961038961038961,-0.5961038961038961,0.26883116883116887,0.014829418311516443,0.031031647076209385,0.05418709044655164,lm000_ls060_le040,lm060_ls000_le040,lm080_ls020_le000,0.11530487491517194,0.11426225020779207,14,0,0,1,lm000_ls100_le000,lm060_ls000_le040,lm080_ls020_le000,0.15649745068641813,0.04173637857875327,12,0,0,1,lm020_ls020_le060,lm060_ls000_le040,lm080_ls020_le000,0.556625271143758,0.12887637281230643,19,0,0,1,lm020_ls020_le060,lm060_ls000_le040,lm100_ls000_le000,0.1158492192399592,0.3949767223636602,8,1,0,0
semantic_only,rough_seed_15,74,77,9347,9075,0.9708997539317428,0.7415584415584415,0.5584415584415584,0.07792207792207792,0.014521076964835325,0.029809119179844856,0.05940201133489609,lm060_ls040_le000,lm060_ls000_le040,lm080_ls020_le000,0.32613364692039915,0.0068616204234064615,20,0,0,1,lm040_ls060_le000,lm100_ls000_le000,lm080_ls020_le000,0.024899701771312427,0.00406380128866983,4,0,0,1,lm000_ls040_le060,lm000_ls000_le100,lm020_ls080_le000,0.2996161401832615,0.46798225740402966,14,1,0,0,lm000_ls080_le020,lm100_ls000_le000,lm100_ls000_le000,0.27508491358795106,0.27508491358795106,10,0,1,0
semantic_only,rough_seed_0,74,77,9347,9075,0.9708997539317428,0.7662337662337663,0.42337662337662335,-0.12337662337662336,0.014684310493369898,0.03422592021524906,0.05759130294124285,lm100_ls000_le000,lm000_ls060_le040,lm080_ls020_le000,0.026947920889475147,0.1191408580715218,3,1,0,0,lm100_ls000_le000,lm000_ls060_le040,lm080_ls020_le000,0.41349271742757165,0.05303508557669458,15,0,0,1,lm000_ls060_le040,lm000_ls040_le060,lm080_ls020_le000,0.04118813123168527,0.5967024525826499,4,1,0,0,lm100_ls000_le000,lm000_ls060_le040,lm080_ls020_le000,0.3933641996327744,0.24551011153872238,10,0,0,1
semantic_only,rough_seed_5,74,77,9347,9075,0.9708997539317428,0.9103896103896105,-0.5194805194805194,0.6077922077922078,0.013781249523162842,0.030763553455471992,0.0661814995110035,lm060_ls020_le020,lm000_ls100_le000,lm080_ls020_le000,0.13459984290775628,0.04604145419202896,14,0,0,1,lm100_ls000_le000,lm100_ls000_le000,lm080_ls020_le000,0.0,0.0050143624435080025,1,1,0,0,lm020_ls040_le040,lm000_ls080_le020,lm080_ls020_le000,0.37512084573482307,0.38181571957820637,16,1,0,0,lm060_ls020_le020,lm000_ls080_le020,lm100_ls000_le000,0.01898257181831335,0.0831771258790878,5,1,0,0
semantic_only,rough_seed_11,74,77,9347,9075,0.9708997539317428,0.7571428571428571,0.03506493506493507,0.9441558441558441,0.014535248279571533,0.030935377503434818,0.05185505747795105,lm020_ls080_le000,lm000_ls080_le020,lm080_ls020_le000,0.749905260502671,0.03577286759580989,10,0,0,1,lm100_ls000_le000,lm000_ls080_le020,lm080_ls020_le000,2.0066415792902212,0.0007254509276770627,11,0,0,1,lm020_ls080_le000,lm000_ls080_le020,lm080_ls020_le000,0.3390986645577858,0.5594708499340446,6,1,0,0,lm000_ls100_le000,lm000_ls100_le000,lm100_ls000_le000,0.0,0.547591313806471,1,1,0,0
semantic_only,rough_seed_4,74,77,9347,9075,0.9708997539317428,0.9519480519480519,0.5701298701298702,0.974025974025974,0.016424504729608696,0.03419134020805359,0.060052954902251564,lm020_ls080_le000,lm000_ls100_le000,lm080_ls020_le000,0.1640909998792447,0.167424333212578,3,1,0,0,lm020_ls080_le000,lm000_ls100_le000,lm080_ls020_le000,0.6290113757007559,0.07501137570075601,4,0,0,1,lm000_ls100_le000,lm000_ls080_le020,lm080_ls020_le000,4.713767588125408,0.5569999999999999,11,0,0,1,lm020_ls080_le000,lm000_ls100_le000,lm100_ls000_le000,0.042972960747891364,0.612047628198621,3,1,0,0
semantic_only,rough_seed_25,74,77,9347,9075,0.9708997539317428,0.9662337662337662,-0.35454545454545455,-0.13376623376623376,0.01309703104197979,0.03131594198445479,0.05780128017067909,lm040_ls040_le020,lm100_ls000_le000,lm080_ls020_le000,0.17697867292882175,0.2333729512036904,4,1,0,0,lm080_ls000_le020,lm100_ls000_le000,lm080_ls020_le000,0.007966230981075031,0.033524854073517504,2,1,0,0,lm060_ls000_le040,lm000_ls040_le060,lm080_ls020_le000,1.0469966628044642,0.5483958397848061,19,0,0,1,lm040_ls040_le020,lm040_ls060_le000,lm100_ls000_le000,0.3607295913954863,0.060503759923311584,9,0,0,1
semantic_only,rough_seed_12,74,77,9347,9075,0.9708997539317428,0.9766233766233766,0.33766233766233766,0.06623376623376624,0.014952179044485092,0.026661310344934464,0.055649893979231514,lm100_ls000_le000,lm100_ls000_le000,lm080_ls020_le000,0.0,0.27336439191352324,1,1,0,0,lm100_ls000_le000,lm100_ls000_le000,lm080_ls020_le000,0.0,0.12323315961884831,1,1,0,0,lm040_ls040_le020,lm080_ls000_le020,lm080_ls020_le000,0.4875138042114002,1.1194319712830678,5,1,0,0,lm100_ls000_le000,lm100_ls000_le000,lm080_ls020_le000,0.0,0.9895874923976087,1,1,0,0
semantic_only,rough_seed_6,74,77,9347,9075,0.9708997539317428,0.9259740259740258,0.03766233766233767,0.7207792207792209,0.014922637802859148,0.03180867185195287,0.05988902101914088,lm000_ls080_le020,lm060_ls020_le020,lm080_ls020_le000,0.11324850957456925,0.19646303752110775,7,1,0,0,lm020_ls080_le000,lm000_ls100_le000,lm080_ls020_le000,0.00943578638193529,0.06378750170648817,2,1,0,0,lm000_ls060_le040,lm000_ls080_le020,lm080_ls020_le000,0.20211389109761468,0.6144933657514767,7,1,0,0,lm040_ls060_le000,lm060_ls020_le020,lm080_ls020_le000,0.40913434187492903,0.2931492573234983,12,0,0,1
