beta_index,beta_name,beta_motion,beta_stability,beta_energy
0,lm000_ls000_le100,0.15,0.15,0.7000000000000001
1,lm000_ls020_le080,0.15,0.26,0.5900000000000001
2,lm000_ls040_le060,0.15,0.37,0.48
3,lm000_ls060_le040,0.15,0.48,0.37
4,lm000_ls080_le020,0.15,0.5900000000000001,0.26
5,lm000_ls100_le000,0.15,0.7000000000000001,0.15
6,lm020_ls000_le080,0.26,0.15,0.5900000000000001
7,lm020_ls020_le060,0.26,0.26,0.48
8,lm020_ls040_le040,0.26,0.37,0.37
9,lm020_ls060_le020,0.26,0.48,0.26
10,lm020_ls080_le000,0.26,0.5900000000000001,0.15
11,lm040_ls000_le060,0.37,0.15,0.48
12,lm040_ls020_le040,0.37,0.26,0.37
13,lm040_ls040_le020,0.37,0.37,0.26
14,lm040_ls060_le000,0.37,0.48,0.15
15,lm060_ls000_le040,0.48,0.15,0.37
16,lm060_ls020_le020,0.48,0.26,0.26
17,lm060_ls040_le000,0.48,0.37,0.15
18,lm080_ls000_le020,0.5900000000000001,0.15,0.26
19,lm080_ls020_le000,0.5900000000000001,0.26,0.15
20,lm100_ls000_le000,0.7000000000000001,0.15,0.15
