context_id,seed,split_group,context_sha256,probe_safety_state_diagnostic,eta_name,eta_motion,eta_stability,eta_energy,selected_beta_index,selected_beta_name,selected_beta_motion,selected_beta_stability,selected_beta_energy,predicted_Q_selected,predicted_Q_best_second_gap
rough_seed_1,1,val,da81bd353ca38a4c688c69ce6c52e8fe14b8b7bf27d53c1985de33586a95cdc3,normal,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,15,lm060_ls000_le040,0.48,0.15,0.37,0.4161386978884279,0.009188495807455732
rough_seed_1,1,val,da81bd353ca38a4c688c69ce6c52e8fe14b8b7bf27d53c1985de33586a95cdc3,normal,motion_biased,0.7,0.15,0.15,9,lm020_ls060_le020,0.26,0.48,0.26,0.2910937281493281,0.0036413784347351097
rough_seed_1,1,val,da81bd353ca38a4c688c69ce6c52e8fe14b8b7bf27d53c1985de33586a95cdc3,normal,stability_biased,0.15,0.7,0.15,15,lm060_ls000_le040,0.48,0.15,0.37,0.2801987561882752,0.0004270959554397158
rough_seed_1,1,val,da81bd353ca38a4c688c69ce6c52e8fe14b8b7bf27d53c1985de33586a95cdc3,normal,energy_biased,0.15,0.15,0.7,18,lm080_ls000_le020,0.5900000000000001,0.15,0.26,0.26626258091495836,0.0553209160427785
rough_seed_21,21,val,35f4300228a5cd5dbcbb1daf2394c2d089a3b1fa5aec16d79792be52a5bb99d4,normal,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,lm000_ls060_le040,0.15,0.48,0.37,0.5754127991580212,0.03212139715725204
rough_seed_21,21,val,35f4300228a5cd5dbcbb1daf2394c2d089a3b1fa5aec16d79792be52a5bb99d4,normal,motion_biased,0.7,0.15,0.15,4,lm000_ls080_le020,0.15,0.5900000000000001,0.26,0.273419005094624,0.00208542958083463
rough_seed_21,21,val,35f4300228a5cd5dbcbb1daf2394c2d089a3b1fa5aec16d79792be52a5bb99d4,normal,stability_biased,0.15,0.7,0.15,3,lm000_ls060_le040,0.15,0.48,0.37,1.2024236439634843,0.07138248152415305
rough_seed_21,21,val,35f4300228a5cd5dbcbb1daf2394c2d089a3b1fa5aec16d79792be52a5bb99d4,normal,energy_biased,0.15,0.15,0.7,4,lm000_ls080_le020,0.15,0.5900000000000001,0.26,0.2753774583635587,0.06263653708587091
rough_seed_16,16,val,014fed67c54c0e2757db899bb315d1bc663f8aaca19622fc4163d7ca59ed81e7,normal,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,20,lm100_ls000_le000,0.7000000000000001,0.15,0.15,0.15279098731220953,0.006455961809539834
rough_seed_16,16,val,014fed67c54c0e2757db899bb315d1bc663f8aaca19622fc4163d7ca59ed81e7,normal,motion_biased,0.7,0.15,0.15,20,lm100_ls000_le000,0.7000000000000001,0.15,0.15,0.0687559442904943,0.01235765537400367
rough_seed_16,16,val,014fed67c54c0e2757db899bb315d1bc663f8aaca19622fc4163d7ca59ed81e7,normal,stability_biased,0.15,0.7,0.15,4,lm000_ls080_le020,0.15,0.5900000000000001,0.26,0.11220030339492885,0.0594509300795409
rough_seed_16,16,val,014fed67c54c0e2757db899bb315d1bc663f8aaca19622fc4163d7ca59ed81e7,normal,energy_biased,0.15,0.15,0.7,20,lm100_ls000_le000,0.7000000000000001,0.15,0.15,0.0751512689030487,0.16621724344362615
rough_seed_14,14,val,854a99b34e4cf8fcbab0c6b7b9a9471a9a19f43fb8799c14e74aad07182bc92b,normal,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,20,lm100_ls000_le000,0.7000000000000001,0.15,0.15,0.5235314008471559,0.06085365890538197
rough_seed_14,14,val,854a99b34e4cf8fcbab0c6b7b9a9471a9a19f43fb8799c14e74aad07182bc92b,normal,motion_biased,0.7,0.15,0.15,20,lm100_ls000_le000,0.7000000000000001,0.15,0.15,0.23558913038122017,0.037440437274719546
rough_seed_14,14,val,854a99b34e4cf8fcbab0c6b7b9a9471a9a19f43fb8799c14e74aad07182bc92b,normal,stability_biased,0.15,0.7,0.15,20,lm100_ls000_le000,0.7000000000000001,0.15,0.15,1.091223547201657,0.12156014691530803
rough_seed_14,14,val,854a99b34e4cf8fcbab0c6b7b9a9471a9a19f43fb8799c14e74aad07182bc92b,normal,energy_biased,0.15,0.15,0.7,1,lm000_ls020_le080,0.15,0.26,0.5900000000000001,0.6133200657888457,0.05107033589744869
rough_seed_27,27,test,58a0e6ae6195b0a7e2cb7a2f2ff1b9d1c3ab719e764d8beab40620212df3124c,normal,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,6,lm020_ls000_le080,0.26,0.15,0.5900000000000001,0.7118925630719912,0.011231625814028923
rough_seed_27,27,test,58a0e6ae6195b0a7e2cb7a2f2ff1b9d1c3ab719e764d8beab40620212df3124c,normal,motion_biased,0.7,0.15,0.15,20,lm100_ls000_le000,0.7000000000000001,0.15,0.15,0.3910623425657101,0.025576403116318536
rough_seed_27,27,test,58a0e6ae6195b0a7e2cb7a2f2ff1b9d1c3ab719e764d8beab40620212df3124c,normal,stability_biased,0.15,0.7,0.15,20,lm100_ls000_le000,0.7000000000000001,0.15,0.15,0.90696763238917,0.017866661645395854
rough_seed_27,27,test,58a0e6ae6195b0a7e2cb7a2f2ff1b9d1c3ab719e764d8beab40620212df3124c,normal,energy_biased,0.15,0.15,0.7,15,lm060_ls000_le040,0.48,0.15,0.37,0.857036610635482,0.06644666268344246
rough_seed_2,2,test,44486864c0425d214d63bb40c3e7dda7ef488c1bb4d8b247a5fd4f58d2146fec,normal,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,5,lm000_ls100_le000,0.15,0.7000000000000001,0.15,0.3296738393681516,0.017473386512909694
rough_seed_2,2,test,44486864c0425d214d63bb40c3e7dda7ef488c1bb4d8b247a5fd4f58d2146fec,normal,motion_biased,0.7,0.15,0.15,5,lm000_ls100_le000,0.15,0.7000000000000001,0.15,0.14835322771566822,0.007863023930809343
rough_seed_2,2,test,44486864c0425d214d63bb40c3e7dda7ef488c1bb4d8b247a5fd4f58d2146fec,normal,stability_biased,0.15,0.7,0.15,5,lm000_ls100_le000,0.15,0.7000000000000001,0.15,0.6923150626731183,0.03669411167711034
rough_seed_2,2,test,44486864c0425d214d63bb40c3e7dda7ef488c1bb4d8b247a5fd4f58d2146fec,normal,energy_biased,0.15,0.15,0.7,5,lm000_ls100_le000,0.15,0.7000000000000001,0.15,0.14835322771566822,0.007863023930809343
rough_seed_3,3,test,bf62064ac22358fec4abfd98b9526fe4ef06ec4e6ecf0ccd59b81b6a3689c86e,normal,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,20,lm100_ls000_le000,0.7000000000000001,0.15,0.15,0.26710781276491063,0.04180144863555685
