context_id,split_group,beta_axis,physical_objective,spearman_rho,direction
rough_seed_1,val,motion,motion,-0.32235375244724507,improves_cost
rough_seed_1,val,motion,stability,-0.39730431628785967,improves_cost
rough_seed_1,val,motion,energy,0.466285366194266,worsens_cost
rough_seed_1,val,stability,motion,-0.5054188464296312,improves_cost
rough_seed_1,val,stability,stability,-0.23082120545605206,improves_cost
rough_seed_1,val,stability,energy,-0.45898929360801155,improves_cost
rough_seed_1,val,energy,motion,0.9171915788213498,worsens_cost
rough_seed_1,val,energy,stability,0.7384056841090723,worsens_cost
rough_seed_1,val,energy,energy,-0.15419452629460376,improves_cost
rough_seed_21,val,motion,motion,-0.3137311212089443,improves_cost
rough_seed_21,val,motion,stability,-0.021888217758763557,improves_cost
rough_seed_21,val,motion,energy,-0.11474732340200289,improves_cost
rough_seed_21,val,stability,motion,-0.60026779005094,improves_cost
rough_seed_21,val,stability,stability,0.5790428516181996,worsens_cost
rough_seed_21,val,stability,energy,-0.6606262087190455,improves_cost
rough_seed_21,val,energy,motion,0.9770084209183943,worsens_cost
rough_seed_21,val,energy,stability,-0.5808879999201882,improves_cost
rough_seed_21,val,energy,energy,0.6473511578057933,worsens_cost
rough_seed_16,val,motion,motion,-0.44108075180538686,improves_cost
rough_seed_16,val,motion,stability,0.216229060283543,worsens_cost
rough_seed_16,val,motion,energy,-0.17974869735227042,improves_cost
rough_seed_16,val,stability,motion,-0.5133781983419089,improves_cost
rough_seed_16,val,stability,stability,0.5299601814924874,worsens_cost
rough_seed_16,val,stability,energy,-0.25403598186686194,improves_cost
rough_seed_16,val,energy,motion,0.9770084209183943,worsens_cost
rough_seed_16,val,energy,stability,-0.8155029472563742,improves_cost
rough_seed_16,val,energy,energy,0.5317052630848406,worsens_cost
rough_seed_14,val,motion,motion,-0.5657772650977368,improves_cost
rough_seed_14,val,motion,stability,0.49546965653928415,worsens_cost
rough_seed_14,val,motion,energy,0.5107250810378163,worsens_cost
rough_seed_14,val,stability,motion,-0.3813856124633044,improves_cost
rough_seed_14,val,stability,stability,0.37541609852909613,worsens_cost
rough_seed_14,val,stability,energy,0.1372988204867896,worsens_cost
rough_seed_14,val,energy,motion,0.9770084209183943,worsens_cost
rough_seed_14,val,energy,stability,-0.94577073671216,improves_cost
rough_seed_14,val,energy,energy,-0.5915221051818851,improves_cost
rough_seed_27,test,motion,motion,-0.5465421646430658,improves_cost
rough_seed_27,test,motion,stability,-0.05903186001605929,improves_cost
rough_seed_27,test,motion,energy,-0.13464570318269703,improves_cost
rough_seed_27,test,stability,motion,-0.19367756319875634,improves_cost
rough_seed_27,test,stability,stability,-0.5047555671036081,improves_cost
rough_seed_27,test,stability,energy,-0.45699945562994215,improves_cost
rough_seed_27,test,energy,motion,0.8108505262043818,worsens_cost
rough_seed_27,test,energy,stability,0.39213263152506983,worsens_cost
rough_seed_27,test,energy,energy,0.44729705257012203,worsens_cost
rough_seed_2,test,motion,motion,-0.6990964096283876,improves_cost
rough_seed_2,test,motion,stability,0.16648311083180767,worsens_cost
rough_seed_2,test,motion,energy,0.05903186001605929,worsens_cost
rough_seed_2,test,stability,motion,-0.10214501620756325,improves_cost
rough_seed_2,test,stability,stability,0.4337846792191323,worsens_cost
rough_seed_2,test,stability,energy,0.5863389242044541,worsens_cost
rough_seed_2,test,energy,motion,0.8241431577815028,worsens_cost
rough_seed_2,test,energy,stability,-0.5283821051905603,improves_cost
rough_seed_2,test,energy,energy,-0.5988330525493016,improves_cost
rough_seed_3,test,motion,motion,-0.5803694102702458,improves_cost
rough_seed_3,test,motion,stability,0.18571821128647864,worsens_cost
rough_seed_3,test,motion,energy,-0.5379195334047651,improves_cost
rough_seed_3,test,stability,motion,-0.3415888529019161,improves_cost
rough_seed_3,test,stability,stability,0.7050659235625958,worsens_cost
rough_seed_3,test,stability,energy,-0.0663279326023138,improves_cost
rough_seed_3,test,energy,motion,0.9770084209183943,worsens_cost
rough_seed_3,test,energy,stability,-0.9045635788230848,improves_cost
rough_seed_3,test,energy,energy,0.6161134735995589,worsens_cost
rough_seed_19,test,motion,motion,-0.7070557615406653,improves_cost
rough_seed_19,test,motion,stability,0.4702650421504049,worsens_cost
rough_seed_19,test,motion,energy,0.3847020090934201,worsens_cost
rough_seed_19,test,stability,motion,-0.21224938432740417,improves_cost
rough_seed_19,test,stability,stability,0.1711260661139696,worsens_cost
rough_seed_19,test,stability,energy,-0.5180211536240709,improves_cost
rough_seed_19,test,energy,motion,0.9404536840813116,worsens_cost
rough_seed_19,test,energy,stability,-0.7324239998993678,improves_cost
rough_seed_19,test,energy,energy,0.09770084209183945,worsens_cost
rough_seed_26,test,motion,motion,-0.6221560078097036,improves_cost
rough_seed_26,test,motion,stability,0.5790428516181996,worsens_cost
rough_seed_26,test,motion,energy,0.05173578742980477,worsens_cost
rough_seed_26,test,stability,motion,-0.31903735581712944,improves_cost
rough_seed_26,test,stability,stability,0.3515380427922632,worsens_cost
rough_seed_26,test,stability,energy,-0.33362950098963845,improves_cost
rough_seed_26,test,energy,motion,0.9770084209183943,worsens_cost
rough_seed_26,test,energy,stability,-0.9677035788144097,improves_cost
rough_seed_26,test,energy,energy,0.27116968417326864,worsens_cost
