fold,held_context,train_contexts,train_dense_rows,train_log_mae,held_q_mae,oracle_beta,pred_beta,baseline_beta,pred_true_rank,selector_exact,selector_Q_excess,baseline_Q_excess,selector_physical_linf_iqr
0,rough_seed_13,32,672,0.015581350413434272,0.31599327236177166,lm080_ls020_le000,lm080_ls000_le020,lm080_ls020_le000,10,0,0.054516427876049434,0.0,0.07410815583733034
1,rough_seed_7,32,672,0.05246239206428311,0.2513147299970304,lm000_ls060_le040,lm100_ls000_le000,lm080_ls020_le000,6,0,0.03784085474337451,0.11426225020779207,0.4409378680083569
2,rough_seed_15,32,672,0.01686040683556608,0.1908657703271247,lm060_ls040_le000,lm000_ls000_le100,lm080_ls020_le000,21,0,0.40666745016513184,0.0068616204234064615,0.4755620616814642
3,rough_seed_0,32,672,0.01785636841800995,0.31640197040065815,lm100_ls000_le000,lm020_ls020_le060,lm080_ls020_le000,13,0,0.13477239128469554,0.1191408580715218,0.45433003530364535
4,rough_seed_5,32,672,0.018552039121076596,0.0994452830286821,lm060_ls020_le020,lm080_ls000_le020,lm080_ls020_le000,3,0,0.009709384197532589,0.04604145419202896,0.045850835012019225
5,rough_seed_11,32,672,0.013930753984290521,1.1642892200922315,lm020_ls080_le000,lm000_ls060_le040,lm080_ls020_le000,14,0,1.053533096790688,0.03577286759580989,0.30849782619501454
6,rough_seed_4,32,672,0.010078222411951516,12.784404505020648,lm020_ls080_le000,lm020_ls080_le000,lm080_ls020_le000,1,1,0.0,0.167424333212578,0.0
7,rough_seed_25,32,672,0.01884129780974225,0.18208100654583287,lm040_ls040_le020,lm000_ls060_le040,lm080_ls020_le000,14,0,0.3195472356950745,0.2333729512036904,0.04672462188056207
8,rough_seed_12,32,672,0.013271857293977724,0.3918685034006324,lm100_ls000_le000,lm100_ls000_le000,lm080_ls020_le000,1,1,0.0,0.27336439191352324,0.0
9,rough_seed_6,32,672,0.015697893875422336,0.4482308655101602,lm000_ls080_le020,lm080_ls000_le020,lm080_ls020_le000,12,0,0.18644660748496164,0.19646303752110775,0.028126656936418467
10,rough_seed_29,32,672,0.021419451494826824,0.40881277313466446,lm060_ls040_le000,lm040_ls020_le040,lm080_ls020_le000,16,0,0.8463866969714162,0.01807345113361848,0.1650956697575012
11,rough_seed_18,32,672,0.01751042064609153,5.223399018262407,lm000_ls100_le000,lm020_ls080_le000,lm080_ls020_le000,6,0,0.8790905326088567,1.6530904404215563,0.009447030028043105
12,rough_seed_10,32,672,0.0185154077159078,0.5925819971725774,lm060_ls020_le020,lm020_ls080_le000,lm080_ls020_le000,6,0,0.06445368497981246,0.04660870274838702,0.11625412154165841
13,rough_seed_8,32,672,0.017319988464349075,0.5883629564072541,lm080_ls020_le000,lm100_ls000_le000,lm080_ls020_le000,2,0,0.0016479083801680394,0.0,0.05114166771806106
14,rough_seed_22,32,672,0.018325938018762398,0.9452139845899213,lm040_ls040_le020,lm080_ls000_le020,lm080_ls020_le000,4,0,0.12362672594178001,0.14102356059836776,0.060484727135411434
15,rough_seed_20,32,672,0.01833088385588253,0.41825327443324556,lm000_ls060_le040,lm100_ls000_le000,lm080_ls020_le000,13,0,0.14668871104683318,0.14667944598463062,0.34998821080478043
16,rough_seed_28,32,672,0.017470836468644103,0.9995850357931441,lm000_ls100_le000,lm040_ls040_le020,lm080_ls020_le000,9,0,0.6179655636381415,0.2066409730589126,0.09180235567080866
17,rough_seed_17,32,672,0.022097248238605132,0.19159436097956084,lm100_ls000_le000,lm040_ls040_le020,lm080_ls020_le000,5,0,0.19183746396762474,0.19233300719603325,0.11391141914146648
