held_context,pearson_Q,spearman_Q,raw_Q_mae,affine_aligned_Q_mae,affine_mae_fraction_of_raw,pred_true_rank,top3_hit,top5_hit,selector_exact,selector_Q_excess,baseline_Q_excess
rough_seed_13,-0.28756025296885307,-0.311066540368842,0.3159932740057648,0.04625515706525472,0.14638019499241262,10,0,0,0,0.054516427876049434,0.0
rough_seed_7,-0.44571570735885957,-0.43636363636363634,0.25131472887340045,0.035053401921273465,0.1394800936594989,6,0,0,0,0.03784085474337451,0.11426225020779207
rough_seed_15,-0.3906636472148014,-0.2727272727272727,0.19086576963342747,0.07962704061458598,0.4171886911284087,21,0,0,0,0.40666745016513184,0.0068616204234064615
rough_seed_0,-0.0816360000467965,-0.08831168831168833,0.3164019688099674,0.06783809944356067,0.2144047955792101,13,0,0,0,0.13477239128469554,0.1191408580715218
rough_seed_5,0.7457635477678802,0.7766233766233767,0.09944528095123341,0.03239808808512568,0.3257880894420044,3,1,1,0,0.009709384197532589,0.04604145419202896
rough_seed_11,-0.07311450251375534,-0.01948051948051948,1.1642892154339084,0.49281921516405597,0.42327903465153344,14,0,0,0,1.053533096790688,0.03577286759580989
rough_seed_4,0.6848429129815677,0.8727272727272727,12.784404533627125,7.734718954436744,0.6050120624775231,1,1,1,1,0.0,0.167424333212578
rough_seed_25,0.03966349868910277,0.024675324675324677,0.18208100571376273,0.11362680045451246,0.6240453253709367,14,0,0,0,0.3195472356950745,0.2333729512036904
rough_seed_12,0.13591276512824832,0.24415584415584415,0.3918685021071031,0.19735291925531526,0.5036202659671176,1,1,1,1,0.0,0.27336439191352324
rough_seed_6,0.40115601431162645,0.17272727272727273,0.4482308675665427,0.19188702120851384,0.4280986319623046,12,0,0,0,0.18644660748496164,0.19646303752110775
rough_seed_29,0.21534129417324208,0.14935064935064934,0.40881276825243146,0.34275007907982125,0.8384035570733002,16,0,0,0,0.8463866969714162,0.01807345113361848
rough_seed_18,0.8504823888891555,0.839883123218236,5.223399014798751,2.019924601677439,0.3867069308614294,6,0,0,0,0.8790905326088567,1.6530904404215563
rough_seed_10,-0.1738800807127211,-0.24675324675324672,0.592582001993254,0.10154183748679746,0.17135491315167117,6,0,0,0,0.06445368497981246,0.04660870274838702
rough_seed_8,0.8373745401445576,0.8610389610389609,0.5883629603422851,0.2435162055740202,0.41388772235484134,2,1,1,0,0.0016479083801680394,0.0
rough_seed_22,0.7592564072510192,0.7545454545454545,0.9452139726066635,0.08916754573736803,0.0943358311679061,4,0,1,0,0.12362672594178001,0.14102356059836776
rough_seed_20,0.3391341102886222,0.14025974025974028,0.4182532750100133,0.08641134201084778,0.20660051498408238,13,0,0,0,0.14668871104683318,0.14667944598463062
rough_seed_28,0.5813594264023781,0.4883116883116883,0.9995850344363094,0.6277708274677265,0.62803143888778,9,0,0,0,0.6179655636381415,0.2066409730589126
rough_seed_17,0.7561802492511236,0.6376623376623376,0.191594363751047,0.12992113315256662,0.6781051937487208,5,0,1,0,0.19183746396762474,0.19233300719603325
