held_context,nearest_context,nearest_distance,q_surface_pearson,q_surface_spearman,oracle_beta,nn_selected_beta,baseline_beta,nn_exact,nn_true_rank,nn_top3,nn_top5,nn_Q_excess,baseline_Q_excess,nn_beats_baseline
rough_seed_13,rough_seed_18,6.117361787920758,-0.27444110347878886,-0.2545454545454545,lm080_ls020_le000,lm000_ls100_le000,lm080_ls020_le000,0,8,0,0,0.03270896035207965,0.0,0
rough_seed_7,rough_seed_5,6.782403429604128,0.0993953559587591,0.03636363636363636,lm000_ls060_le040,lm060_ls020_le020,lm080_ls020_le000,0,15,0,0,0.11608609226524153,0.11426225020779207,0
rough_seed_15,rough_seed_32,6.662591210934241,0.4738107813705771,0.28441558441558445,lm060_ls040_le000,lm040_ls000_le060,lm080_ls020_le000,0,8,0,0,0.12127889777638276,0.0068616204234064615,0
rough_seed_0,rough_seed_32,5.604390395271351,0.34183902165317664,0.12727272727272726,lm100_ls000_le000,lm040_ls000_le060,lm080_ls020_le000,0,12,0,0,0.1307796446375164,0.1191408580715218,0
rough_seed_5,rough_seed_40,3.4969288011566166,0.49666326762187973,0.36623376623376624,lm060_ls020_le020,lm020_ls060_le020,lm080_ls020_le000,0,4,0,1,0.03155339441793098,0.04604145419202896,1
rough_seed_11,rough_seed_25,4.214077724588377,0.3740432564083872,0.5012987012987012,lm020_ls080_le000,lm040_ls040_le020,lm080_ls020_le000,0,7,0,0,0.6410250701151684,0.03577286759580989,0
rough_seed_4,rough_seed_36,5.208004928650746,-0.019616199450162953,0.03896103896103896,lm020_ls080_le000,lm100_ls000_le000,lm080_ls020_le000,0,6,0,0,1.4184583553569694,0.167424333212578,0
rough_seed_25,rough_seed_20,3.7861020327575874,0.003437487532507407,0.0012987012987012987,lm040_ls040_le020,lm000_ls060_le040,lm080_ls020_le000,0,14,0,0,0.3195472356950745,0.2333729512036904,0
rough_seed_12,rough_seed_36,4.528041158755365,-0.2954447690061221,-0.1987012987012987,lm100_ls000_le000,lm100_ls000_le000,lm080_ls020_le000,1,1,1,1,0.0,0.27336439191352324,1
rough_seed_6,rough_seed_31,4.122500311766717,0.4958094596003063,0.10519480519480517,lm000_ls080_le020,lm060_ls000_le040,lm080_ls020_le000,0,17,0,0,0.36734712600318287,0.19646303752110775,0
rough_seed_29,rough_seed_25,6.494609310727891,0.30144768777641917,0.3233766233766234,lm060_ls040_le000,lm040_ls040_le020,lm080_ls020_le000,0,8,0,0,0.22111780249293078,0.01807345113361848,0
rough_seed_18,rough_seed_6,5.29338278651457,0.5628709610382441,0.6792207792207793,lm000_ls100_le000,lm000_ls080_le020,lm080_ls020_le000,0,4,0,1,0.11112329085320133,1.6530904404215563,1
rough_seed_10,rough_seed_38,7.171967832306276,0.5811471882821695,0.5389610389610389,lm060_ls020_le020,lm060_ls020_le020,lm080_ls020_le000,1,1,1,1,0.0,0.04660870274838702,1
rough_seed_8,rough_seed_6,4.589432957745708,0.6697792931101458,0.5389610389610389,lm080_ls020_le000,lm000_ls080_le020,lm080_ls020_le000,0,11,0,0,0.7668658057023279,0.0,0
rough_seed_22,rough_seed_20,5.1573162121206755,0.3355280980722348,0.34025974025974026,lm040_ls040_le020,lm000_ls060_le040,lm080_ls020_le000,0,10,0,0,0.1894274549107057,0.14102356059836776,0
rough_seed_20,rough_seed_25,3.8133264690669164,0.003437487532507407,0.0012987012987012987,lm000_ls060_le040,lm040_ls040_le020,lm080_ls020_le000,0,10,0,0,0.13589150167133868,0.14667944598463062,1
rough_seed_28,rough_seed_40,5.049424554315775,0.782223382738593,0.4688311688311688,lm000_ls100_le000,lm020_ls060_le020,lm080_ls020_le000,0,8,0,0,0.6041013760693854,0.2066409730589126,0
rough_seed_17,rough_seed_38,4.502048626328606,0.7864460466912379,0.7688311688311688,lm100_ls000_le000,lm060_ls020_le020,lm080_ls020_le000,0,3,1,1,0.14204112922934917,0.19233300719603325,1
