held_context,lowres_nn_context,highres_nn_context,lowres_spearman,highres_spearman,spearman_delta_high_minus_low,lowres_true_rank,highres_true_rank,rank_delta_high_minus_low,lowres_Q_excess,highres_Q_excess,Q_excess_delta_high_minus_low,baseline_Q_excess
rough_seed_13,rough_seed_18,rough_seed_18,-0.2545454545454545,-0.2545454545454545,0.0,8,8,0,0.03270896035207965,0.03270896035207965,0.0,0.0
rough_seed_7,rough_seed_5,rough_seed_5,0.03636363636363636,0.03636363636363636,0.0,15,15,0,0.11608609226524153,0.11608609226524153,0.0,0.11426225020779207
rough_seed_15,rough_seed_32,rough_seed_32,0.28441558441558445,0.28441558441558445,0.0,8,8,0,0.12127889777638276,0.12127889777638276,0.0,0.0068616204234064615
rough_seed_0,rough_seed_32,rough_seed_32,0.12727272727272726,0.12727272727272726,0.0,12,12,0,0.1307796446375164,0.1307796446375164,0.0,0.1191408580715218
rough_seed_5,rough_seed_40,rough_seed_38,0.36623376623376624,0.7922077922077921,0.4259740259740259,4,1,-3,0.03155339441793098,0.0,-0.03155339441793098,0.04604145419202896
rough_seed_11,rough_seed_25,rough_seed_25,0.5012987012987012,0.5012987012987012,0.0,7,7,0,0.6410250701151684,0.6410250701151684,0.0,0.03577286759580989
rough_seed_4,rough_seed_36,rough_seed_36,0.03896103896103896,0.03896103896103896,0.0,6,6,0,1.4184583553569694,1.4184583553569694,0.0,0.167424333212578
rough_seed_25,rough_seed_20,rough_seed_20,0.0012987012987012987,0.0012987012987012987,0.0,14,14,0,0.3195472356950745,0.3195472356950745,0.0,0.2333729512036904
rough_seed_12,rough_seed_36,rough_seed_36,-0.1987012987012987,-0.1987012987012987,0.0,1,1,0,0.0,0.0,0.0,0.27336439191352324
rough_seed_6,rough_seed_31,rough_seed_31,0.10519480519480517,0.10519480519480517,0.0,17,17,0,0.36734712600318287,0.36734712600318287,0.0,0.19646303752110775
rough_seed_29,rough_seed_25,rough_seed_25,0.3233766233766234,0.3233766233766234,0.0,8,8,0,0.22111780249293078,0.22111780249293078,0.0,0.01807345113361848
rough_seed_18,rough_seed_6,rough_seed_6,0.6792207792207793,0.6792207792207793,0.0,4,4,0,0.11112329085320133,0.11112329085320133,0.0,1.6530904404215563
rough_seed_10,rough_seed_38,rough_seed_38,0.5389610389610389,0.5389610389610389,0.0,1,1,0,0.0,0.0,0.0,0.04660870274838702
rough_seed_8,rough_seed_6,rough_seed_6,0.5389610389610389,0.5389610389610389,0.0,11,11,0,0.7668658057023279,0.7668658057023279,0.0,0.0
rough_seed_22,rough_seed_20,rough_seed_20,0.34025974025974026,0.34025974025974026,0.0,10,10,0,0.1894274549107057,0.1894274549107057,0.0,0.14102356059836776
rough_seed_20,rough_seed_25,rough_seed_25,0.0012987012987012987,0.0012987012987012987,0.0,10,10,0,0.13589150167133868,0.13589150167133868,0.0,0.14667944598463062
rough_seed_28,rough_seed_40,rough_seed_40,0.4688311688311688,0.4688311688311688,0.0,8,8,0,0.6041013760693854,0.6041013760693854,0.0,0.2066409730589126
rough_seed_17,rough_seed_38,rough_seed_38,0.7688311688311688,0.7688311688311688,0.0,3,3,0,0.14204112922934917,0.14204112922934917,0.0,0.19233300719603325
