seed,beta_name,row_hash_equal,canonical_log_hash_equal,status_equal,energy_abs_j_range,roll_rms_rad_range,pitch_rms_rad_range,progress_m_range,decision_time_s_range
13,lm100_ls000_le000,1,1,1,0.0,0.0,0.0,0.0,0.0
13,lm000_ls100_le000,1,1,1,0.0,0.0,0.0,0.0,0.0
13,lm000_ls000_le100,1,1,1,0.0,0.0,0.0,0.0,0.0
13,lm040_ls040_le020,1,1,1,0.0,0.0,0.0,0.0,0.0
4,lm100_ls000_le000,1,1,1,0.0,0.0,0.0,0.0,0.0
4,lm000_ls100_le000,1,1,1,0.0,0.0,0.0,0.0,0.0
4,lm000_ls000_le100,1,1,1,0.0,0.0,0.0,0.0,0.0
4,lm040_ls040_le020,1,1,1,0.0,0.0,0.0,0.0,0.0
22,lm100_ls000_le000,1,1,1,0.0,0.0,0.0,0.0,0.0
22,lm000_ls100_le000,1,1,1,0.0,0.0,0.0,0.0,0.0
22,lm000_ls000_le100,1,1,1,0.0,0.0,0.0,0.0,0.0
22,lm040_ls040_le020,1,1,1,0.0,0.0,0.0,0.0,0.0
