representation,held_context,nearest_context,nearest_distance,rho_J_motion,rho_J_stability,rho_J_energy,rho_Q,oracle_beta,selected_beta,true_rank,exact,top3,top5,Q_excess,baseline_Q_excess,beats_baseline
raw_height,rough_seed_13,rough_seed_18,12.398313490964647,0.8805194805194804,-0.2506493506493506,-0.8402597402597403,-0.2545454545454545,lm080_ls020_le000,lm000_ls100_le000,8,0,0,0,0.03270896035207965,0.0,0
raw_height,rough_seed_7,rough_seed_5,13.777738993204355,0.8870129870129868,-0.14025974025974028,-0.525974025974026,0.03636363636363636,lm000_ls060_le040,lm060_ls020_le020,15,0,0,0,0.11608609226524153,0.11426225020779207,0
raw_height,rough_seed_15,rough_seed_32,12.92864802664529,0.8272727272727272,0.28441558441558445,0.2675324675324675,0.28441558441558445,lm060_ls040_le000,lm040_ls000_le060,8,0,0,0,0.12127889777638276,0.0068616204234064615,0
raw_height,rough_seed_0,rough_seed_32,11.367498964278706,0.9753246753246754,0.4285714285714285,0.4584415584415585,0.12727272727272726,lm100_ls000_le000,lm040_ls000_le060,12,0,0,0,0.1307796446375164,0.1191408580715218,0
raw_height,rough_seed_5,rough_seed_38,6.8905078408777305,0.9792207792207792,0.4584415584415585,0.47402597402597396,0.7922077922077921,lm060_ls020_le020,lm060_ls020_le020,1,1,1,1,0.0,0.04604145419202896,1
raw_height,rough_seed_11,rough_seed_25,8.674450433851728,0.9818181818181818,0.44285714285714284,0.15714285714285717,0.5012987012987012,lm020_ls080_le000,lm040_ls040_le020,7,0,0,0,0.6410250701151684,0.03577286759580989,0
raw_height,rough_seed_4,rough_seed_36,10.398554610319698,0.9623376623376624,0.5545454545454546,-0.16753246753246753,0.03896103896103896,lm020_ls080_le000,lm100_ls000_le000,6,0,0,0,1.4184583553569694,0.167424333212578,0
raw_height,rough_seed_25,rough_seed_20,7.519448418151647,0.9818181818181818,-0.062337662337662345,-0.3233766233766234,0.0012987012987012987,lm040_ls040_le020,lm000_ls060_le040,14,0,0,0,0.3195472356950745,0.2333729512036904,0
raw_height,rough_seed_12,rough_seed_36,9.090536045498148,0.9974025974025975,-0.11688311688311687,-0.16883116883116883,-0.1987012987012987,lm100_ls000_le000,lm100_ls000_le000,1,1,1,1,0.0,0.27336439191352324,1
raw_height,rough_seed_6,rough_seed_31,8.41563056204532,0.9805194805194805,0.5207792207792208,-0.45454545454545453,0.10519480519480517,lm000_ls080_le020,lm060_ls000_le040,17,0,0,0,0.36734712600318287,0.19646303752110775,0
raw_height,rough_seed_29,rough_seed_25,12.987506364776001,0.9558441558441559,-0.06883116883116883,0.26103896103896107,0.3233766233766234,lm060_ls040_le000,lm040_ls040_le020,8,0,0,0,0.22111780249293078,0.01807345113361848,0
raw_height,rough_seed_18,rough_seed_6,10.360554335509525,0.9389610389610389,-0.5012987012987012,0.6350649350649351,0.6792207792207793,lm000_ls100_le000,lm000_ls080_le020,4,0,0,1,0.11112329085320133,1.6530904404215563,1
raw_height,rough_seed_10,rough_seed_38,14.212558772038312,0.9233766233766234,0.274025974025974,0.18571428571428572,0.5389610389610389,lm060_ls020_le020,lm060_ls020_le020,1,1,1,1,0.0,0.04660870274838702,1
raw_height,rough_seed_8,rough_seed_6,8.783234498594167,0.9571428571428571,0.20129870129870128,0.7155844155844155,0.5389610389610389,lm080_ls020_le000,lm000_ls080_le020,11,0,0,0,0.7668658057023279,0.0,0
raw_height,rough_seed_22,rough_seed_20,10.4560132165303,0.9727272727272727,0.7922077922077921,0.5792207792207792,0.34025974025974026,lm040_ls040_le020,lm000_ls060_le040,10,0,0,0,0.1894274549107057,0.14102356059836776,0
raw_height,rough_seed_20,rough_seed_25,7.570347549924247,0.9818181818181818,-0.062337662337662345,-0.3233766233766234,0.0012987012987012987,lm000_ls060_le040,lm040_ls040_le020,10,0,0,0,0.13589150167133868,0.14667944598463062,1
raw_height,rough_seed_28,rough_seed_40,10.083076815633033,0.9454545454545454,-0.8090909090909091,0.8428571428571429,0.4688311688311688,lm000_ls100_le000,lm020_ls060_le020,8,0,0,0,0.6041013760693854,0.2066409730589126,0
raw_height,rough_seed_17,rough_seed_38,9.001071447369247,0.9103896103896105,0.2532467532467532,0.7389610389610389,0.7688311688311688,lm100_ls000_le000,lm060_ls020_le020,3,0,1,1,0.14204112922934917,0.19233300719603325,1
derivative_field,rough_seed_13,rough_seed_15,32.9105953597679,0.7870129870129869,0.16493506493506493,-0.5324675324675324,0.39610389610389607,lm080_ls020_le000,lm060_ls040_le000,3,0,1,1,0.005441381035202031,0.0,0
derivative_field,rough_seed_7,rough_seed_5,28.553513729195156,0.8870129870129868,-0.14025974025974028,-0.525974025974026,0.03636363636363636,lm000_ls060_le040,lm060_ls020_le020,15,0,0,0,0.11608609226524153,0.11426225020779207,0
derivative_field,rough_seed_15,rough_seed_13,33.328694944576945,0.7870129870129869,0.16493506493506493,-0.5324675324675324,0.39610389610389607,lm060_ls040_le000,lm080_ls020_le000,2,0,1,1,0.0068616204234064615,0.0068616204234064615,0
derivative_field,rough_seed_0,rough_seed_32,28.387612459447382,0.9753246753246754,0.4285714285714285,0.4584415584415585,0.12727272727272726,lm100_ls000_le000,lm040_ls000_le060,12,0,0,0,0.1307796446375164,0.1191408580715218,0
derivative_field,rough_seed_5,rough_seed_40,23.58214186215396,0.9662337662337662,0.8480519480519481,0.5428571428571428,0.36623376623376624,lm060_ls020_le020,lm020_ls060_le020,4,0,0,1,0.03155339441793098,0.04604145419202896,1
