representation,held_context,selected_k,inner_mean_Q_excess_k1,inner_mean_Q_excess_k3,inner_mean_Q_excess_k5,inner_mean_Q_excess_k7,neighbors,neighbor_distances,neighbor_weights,oracle_beta,selected_beta,baseline_beta,true_rank,exact,top3,top5,Q_excess,baseline_Q_excess,beats_baseline,predicted_Q_margin,predicted_vs_true_Q_spearman
raw_height,rough_seed_13,5,0.22314291589807111,0.3207202930154788,0.21607814956068025,0.3355961127068259,rough_seed_18|rough_seed_6|rough_seed_15|rough_seed_31|rough_seed_30,12.3983135|14.4955|15.1200036|16.0055575|16.2320785,0.0806561247|0.0689869224|0.0661375461|0.0624782945|0.0616064011,lm080_ls020_le000,lm000_ls100_le000,lm080_ls020_le000,8,0,0,0,0.03270896035207965,0.0,0,0.011296991327392258,-0.251948051948052
raw_height,rough_seed_7,5,0.223932682631434,0.32169134935277754,0.2022198069735677,0.3468756990197389,rough_seed_5|rough_seed_47|rough_seed_38|rough_seed_17|rough_seed_20,13.777739|14.4189274|15.4783398|16.5045879|17.1704145,0.0725808442|0.0693532813|0.0646064081|0.0605892099|0.058239709,lm000_ls060_le040,lm060_ls020_le020,lm080_ls020_le000,15,0,0,0,0.11608609226524153,0.11426225020779207,0,0.005406296969906549,0.12727272727272726
raw_height,rough_seed_15,5,0.22377040745921084,0.33279138206921743,0.21062173935624756,0.3507879181968496,rough_seed_32|rough_seed_18|rough_seed_31|rough_seed_13|rough_seed_37,12.928648|14.5098716|15.1966178|15.2703253|15.5045181,0.0773476021|0.0689185927|0.0658041115|0.0654864855|0.0644973247,lm060_ls040_le000,lm000_ls100_le000,lm080_ls020_le000,13,0,0,0,0.16625383256553808,0.0068616204234064615,0,0.07399618402740205,0.2909090909090909
raw_height,rough_seed_0,5,0.21813338135473556,0.3255333238476067,0.21286394421652777,0.33574568634246754,rough_seed_32|rough_seed_29|rough_seed_45|rough_seed_31|rough_seed_15,11.367499|14.8609486|15.2170888|15.2249088|16.6467835,0.0879700904|0.0672904508|0.0657155877|0.0656818342|0.0600716612,lm100_ls000_le000,lm060_ls040_le000,lm080_ls020_le000,2,0,1,1,0.0014168928852264784,0.1191408580715218,1,0.00204005247116934,0.22597402597402597
raw_height,rough_seed_5,5,0.2293577289437816,0.35283819187249926,0.21896187614855175,0.3511814321397783,rough_seed_38|rough_seed_40|rough_seed_47|rough_seed_25|rough_seed_44,6.89050784|7.02090507|7.63711285|9.80045798|9.84452962,0.145127163|0.142431759|0.130939517|0.102036037|0.101579246,lm060_ls020_le020,lm080_ls000_le020,lm080_ls020_le000,3,0,1,1,0.009709384197532589,0.04604145419202896,1,0.03912101131981363,0.896103896103896
raw_height,rough_seed_11,5,0.20529211340516015,0.3228841930671128,0.20386431569053845,0.6513663366170406,rough_seed_25|rough_seed_12|rough_seed_4|rough_seed_39|rough_seed_41,8.67445043|10.0636538|10.9887776|11.6904528|11.9962472,0.115281065|0.0993674787|0.0910019241|0.085539879|0.0833593955,lm020_ls080_le000,lm020_ls080_le000,lm080_ls020_le000,1,1,1,1,0.0,0.03577286759580989,1,0.009529507398681802,0.9753246753246754
raw_height,rough_seed_4,1,0.1832335494098175,0.2941049039430616,0.2790224837900215,0.33565014645455404,rough_seed_36,10.3985546,0.0961672022,lm020_ls080_le000,lm100_ls000_le000,lm080_ls020_le000,6,0,0,0,1.4184583553569694,0.167424333212578,0,0.15517407387482268,0.03896103896103896
raw_height,rough_seed_25,1,0.20462000768876376,0.3083137207715617,0.2066424242912171,0.6263638969989401,rough_seed_20,7.51944842,0.13298846,lm040_ls040_le020,lm000_ls060_le040,lm080_ls020_le000,14,0,0,0,0.3195472356950745,0.2333729512036904,0,0.027853767038330174,0.0012987012987012987
raw_height,rough_seed_12,5,0.2453562170291457,0.3410423737105907,0.20718204403718415,0.318573959984289,rough_seed_36|rough_seed_20|rough_seed_25|rough_seed_11|rough_seed_4,9.09053605|9.54948513|9.55784801|9.94983985|10.730541,0.110004502|0.104717677|0.104626051|0.10050412|0.0931919379,lm100_ls000_le000,lm080_ls020_le000,lm080_ls020_le000,10,0,0,0,0.27336439191352324,0.27336439191352324,0,0.019527038637729366,0.7090909090909091
raw_height,rough_seed_6,1,0.258466201644589,0.30811189754202056,0.3121549396232394,0.5341504793583464,rough_seed_31,8.41563056,0.118826495,lm000_ls080_le020,lm060_ls000_le040,lm080_ls020_le000,17,0,0,0,0.36734712600318287,0.19646303752110775,0,0.0011558225663426125,0.10519480519480517
