representation,held_context,context_dim,model_input_dim,train_samples,ensemble_size,final_standardized_mse_mean,train_mae_J_motion,train_mae_J_stability,train_mae_J_energy,held_mae_J_motion,held_mae_J_stability,held_mae_J_energy,rho_J_motion,rho_J_stability,rho_J_energy,rho_Q,oracle_beta,selected_beta,baseline_beta,true_rank,exact,top3,top5,Q_excess,baseline_Q_excess,beats_baseline
semantic_only,rough_seed_13,74,77,672,3,0.003759708177919189,0.004868271435176914,0.0011394965375914052,0.37534631158105686,0.2854682581532476,0.2715787737591599,12.367535031462861,0.9090909090909091,0.08571428571428572,-0.774025974025974,0.1909090909090909,lm080_ls020_le000,lm080_ls020_le000,lm080_ls020_le000,1,1,1,1,0.0,0.0,0
semantic_only,rough_seed_7,74,77,672,3,0.0033503251615911722,0.004607718638399598,0.0011994549187479431,0.363150800037067,0.0889851408336112,0.06609525858839377,4.838242780568651,0.6701298701298701,-0.3701298701298701,0.8610389610389609,0.26883116883116887,lm000_ls060_le040,lm000_ls040_le060,lm080_ls020_le000,10,0,0,0,0.08366227322260555,0.11426225020779207,1
semantic_only,rough_seed_15,74,77,672,3,0.0036649773052583137,0.004635313205734378,0.0012055724670090935,0.3515361694843377,0.06695276926064031,0.09657677944771624,20.401545865198962,0.8441558441558441,-0.2324675324675325,-0.2831168831168831,-0.14415584415584418,lm060_ls040_le000,lm060_ls020_le020,lm080_ls020_le000,17,0,0,0,0.19997271527940827,0.0068616204234064615,0
semantic_only,rough_seed_0,74,77,672,3,0.0030364911848058305,0.004503345194903938,0.001187154357089581,0.35306317626642314,0.12331248220855032,0.22455182873238366,17.01435185277608,0.9675324675324675,0.42987012987012985,-0.5,0.2,lm100_ls000_le000,lm000_ls060_le040,lm080_ls020_le000,3,0,1,1,0.026947920889475147,0.1191408580715218,1
semantic_only,rough_seed_5,74,77,672,3,0.0034280122878650823,0.004737352273917097,0.0012984136187588365,0.38644073877993934,0.03183259410673445,0.005859657958755469,5.735680861277609,0.9064935064935065,-0.8103896103896104,0.5051948051948052,0.6896103896103896,lm060_ls020_le020,lm020_ls080_le000,lm080_ls020_le000,11,0,0,0,0.11916955103953375,0.04604145419202896,0
semantic_only,rough_seed_11,74,77,672,3,0.0034567894569287696,0.004839867963377287,0.0011955498646304887,0.3866303239077987,0.1730155044307621,0.15695257437718232,5.79183146003413,0.9792207792207792,-0.6558441558441558,0.23896103896103899,-0.2714285714285714,lm020_ls080_le000,lm000_ls040_le060,lm080_ls020_le000,17,0,0,0,1.3358057869314452,0.03577286759580989,0
semantic_only,rough_seed_4,74,77,672,3,0.0034133451990783215,0.0044809026714238516,0.0012337003209805149,0.38269891213074175,0.05525318272193889,0.02198466386112663,3.6165799360165325,0.9636363636363635,0.32857142857142857,0.9194805194805193,-0.6298701298701298,lm020_ls080_le000,lm000_ls000_le100,lm080_ls020_le000,21,0,0,0,41.66832573678143,0.167424333212578,0
semantic_only,rough_seed_25,74,77,672,3,0.003753351978957653,0.00511956616984138,0.0011838523436930447,0.384187491625308,0.03415914090251467,0.04736993889694428,10.26884858649382,0.9922077922077923,-0.2662337662337662,0.0935064935064935,-0.23636363636363636,lm040_ls040_le020,lm060_ls000_le040,lm080_ls020_le000,5,0,0,1,0.17959066750055985,0.2333729512036904,1
semantic_only,rough_seed_12,74,77,672,3,0.0032764450491716466,0.00451446871255374,0.001254043576631052,0.37286523944263655,0.20877891093286008,0.1346177319776013,16.020928773329462,0.9792207792207792,0.4948051948051948,-0.07922077922077922,0.7753246753246753,lm100_ls000_le000,lm060_ls040_le000,lm080_ls020_le000,5,0,0,1,0.08743735131815977,0.27336439191352324,1
semantic_only,rough_seed_6,74,77,672,3,0.003484521914894382,0.0047513944635976845,0.0012272274643767478,0.3756101155864757,0.1283134955391538,0.0378189972034252,5.170278214450169,0.9545454545454546,0.8688311688311688,0.14025974025974028,0.3363636363636363,lm000_ls080_le020,lm000_ls100_le000,lm080_ls020_le000,4,0,0,1,0.07496055129465143,0.19646303752110775,1
