context_id,group,terrain,seed,beta_name,feasible,pareto_nondominated,linearly_supported,support_grid_count,support_fraction,max_margin,max_margin_beta_motion,max_margin_beta_stability,max_margin_beta_energy
flat:flat:27027,flat,flat,27027,balanced,True,True,False,0,0.0,-4.57059649263838e-06,0.0,0.985,0.015
flat:flat:27027,flat,flat,27027,motion,True,True,True,6651,0.3276193290970888,0.00429272112265508,1.0,0.0,0.0
flat:flat:27027,flat,flat,27027,stability,True,False,False,0,0.0,-4.4141330001045556e-05,0.0,0.985,0.015
flat:flat:27027,flat,flat,27027,energy,True,True,True,13650,0.6723806709029112,0.001572618154679763,0.615,0.0,0.385
flat:flat:27028,flat,flat,27028,balanced,True,True,True,3,0.00014777597162701344,1.3135337648445757e-05,0.0,0.975,0.025
flat:flat:27028,flat,flat,27028,motion,True,True,True,9600,0.47288310920644305,0.0043263869530529575,1.0,0.0,0.0
flat:flat:27028,flat,flat,27028,stability,True,True,True,3410,0.1679720210827053,0.000358113221172518,0.0,0.0,1.0
flat:flat:27028,flat,flat,27028,energy,True,True,True,7288,0.35899709373922467,0.0006908758423528755,0.5,0.0,0.5
flat:flat:27029,flat,flat,27029,balanced,True,True,False,0,0.0,-3.456357447474027e-06,0.005,0.98,0.015
flat:flat:27029,flat,flat,27029,motion,True,True,True,7923,0.39027634106694253,0.004304583726992051,1.0,0.0,0.0
flat:flat:27029,flat,flat,27029,stability,True,False,False,0,0.0,-0.00014531999396310904,0.0,0.985,0.015
flat:flat:27029,flat,flat,27029,energy,True,True,True,12378,0.6097236589330575,0.003788350079011571,0.0,0.0,1.0
flat:flat:27030,flat,flat,27030,balanced,True,True,True,1,4.9258657209004484e-05,1.8263680523323882e-06,0.0,0.985,0.015
flat:flat:27030,flat,flat,27030,motion,True,True,True,7295,0.3593419043396877,0.0045230122896617875,1.0,0.0,0.0
flat:flat:27030,flat,flat,27030,stability,True,False,False,0,0.0,-9.910760806357508e-05,0.0,0.985,0.015
flat:flat:27030,flat,flat,27030,energy,True,True,True,13005,0.6406088370031033,0.00307525048318813,0.0,0.0,1.0
flat:flat:27031,flat,flat,27031,balanced,True,True,False,0,0.0,-9.341446643350267e-05,0.0,0.975,0.025
flat:flat:27031,flat,flat,27031,motion,True,True,True,9394,0.4627358258213881,0.004439208200259531,1.0,0.0,0.0
flat:flat:27031,flat,flat,27031,stability,True,True,True,10561,0.5202206787842963,0.0024621336203832778,0.0,0.0,1.0
flat:flat:27031,flat,flat,27031,energy,True,True,True,346,0.01704349539431555,0.00012555789537968111,0.54,0.015,0.445
flat:flat:27032,flat,flat,27032,balanced,True,False,False,0,0.0,-0.00022402016017027127,0.0,1.0,0.0
flat:flat:27032,flat,flat,27032,motion,True,True,True,13176,0.6490320673858431,0.00589738388339431,0.745,0.0,0.255
