decision_index,context_id,group,terrain,seed,mission,primary_metric,selected_beta_name,feasible_choice_count,preference_pair_count,support_class,max_margin_rho,beta_hat_motion,beta_hat_stability,beta_hat_energy,min_pair_margin_at_beta_hat,max_pair_margin_at_beta_hat,source_beta_consistent,source_beta_min_margin
2,flat_train:flat:27100,flat_train,flat,27100,fast,decision_time_s,balanced,2,1,strict,0.00474956821103556,0.0,0.0,1.0,0.00474956821103556,0.00474956821103556,0,-2.8259992934423148e-05
4,flat_train:flat:27100,flat_train,flat,27100,fast,decision_time_s,balanced,2,1,strict,0.0030707498587375093,1.0,-0.0,0.0,0.0030707498587375093,0.0030707498587375093,0,-0.0013822287758935789
5,flat_train:flat:27100,flat_train,flat,27100,fast,decision_time_s,balanced,3,2,unsupported,-6.061867176761732e-05,0.0,0.9801416189469098,0.01985838105309017,-6.061867176761731e-05,-6.061867176761695e-05,0,-0.0013822287758935789
7,flat_train:flat:27100,flat_train,flat,27100,fast,decision_time_s,energy,2,1,strict,0.0020839321212500483,1.0,-0.0,0.0,0.0020839321212500483,0.0020839321212500483,0,-0.001298003680015494
8,flat_train:flat:27100,flat_train,flat,27100,fast,decision_time_s,balanced,3,2,strict,0.0030707498587375093,1.0,-0.0,0.0,0.0030707498587375093,0.005154681979987558,0,-0.0014512911750152548
9,flat_train:flat:27100,flat_train,flat,27100,fast,decision_time_s,balanced,4,3,unsupported,-7.190541602776262e-05,0.0,0.9824414480515397,0.01755855194846044,-7.190541602776264e-05,-4.3623639482250375e-05,0,-0.0014512911750152548
13,flat_train:flat:27100,flat_train,flat,27100,stable,cost_stability,motion,2,1,strict,0.004676271638302865,1.0,-0.0,0.0,0.004676271638302865,0.004676271638302865,1,0.002584666397887066
15,flat_train:flat:27100,flat_train,flat,27100,stable,cost_stability,balanced,2,1,strict,0.0030707498587375093,1.0,-0.0,0.0,0.0030707498587375093,0.0030707498587375093,0,-0.0013822287758935789
16,flat_train:flat:27100,flat_train,flat,27100,stable,cost_stability,motion,3,2,strict,0.004676271638302865,1.0,-0.0,0.0,0.004676271638302865,0.007747021497040374,1,0.002584666397887066
18,flat_train:flat:27100,flat_train,flat,27100,stable,cost_stability,energy,2,1,strict,0.0020839321212500483,1.0,-0.0,0.0,0.0020839321212500483,0.0020839321212500483,0,-0.001298003680015494
19,flat_train:flat:27100,flat_train,flat,27100,stable,cost_stability,balanced,3,2,strict,0.0030707498587375093,1.0,-0.0,0.0,0.0030707498587375093,0.005154681979987558,0,-0.0014512911750152548
20,flat_train:flat:27100,flat_train,flat,27100,stable,cost_stability,motion,4,3,strict,0.004676271638302865,1.0,-0.0,0.0,0.004676271638302865,0.009830953618290422,1,0.002584666397887066
25,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,balanced,2,1,strict,0.00474956821103556,0.0,0.0,1.0,0.00474956821103556,0.00474956821103556,0,-2.8259992934423148e-05
26,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,balanced,2,1,strict,0.00474956821103556,0.0,0.0,1.0,0.00474956821103556,0.00474956821103556,0,-2.8259992934423148e-05
27,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,balanced,2,1,strict,0.00474956821103556,0.0,0.0,1.0,0.00474956821103556,0.00474956821103556,0,-2.8259992934423148e-05
29,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,balanced,2,1,strict,0.00474956821103556,0.0,0.0,1.0,0.00474956821103556,0.00474956821103556,0,-2.8259992934423148e-05
30,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,energy,3,2,strict,0.007303564864900691,0.0,0.0,1.0,0.007303564864900691,0.012053133075936251,1,0.00463896362484749
31,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,energy,3,2,strict,0.007303564864900691,0.0,0.0,1.0,0.007303564864900691,0.012053133075936251,1,0.00463896362484749
33,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,balanced,2,1,strict,0.00474956821103556,0.0,0.0,1.0,0.00474956821103556,0.00474956821103556,0,-2.8259992934423148e-05
34,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,energy,3,2,strict,0.007303564864900691,0.0,0.0,1.0,0.007303564864900691,0.012053133075936251,1,0.00463896362484749
35,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,stability,4,3,strict,0.0023035010916558907,0.0,0.0,1.0,0.0023035010916558907,0.014356634167592142,1,2.426810443230639e-05
38,flat_train:flat:27101,flat_train,flat,27101,fast,decision_time_s,balanced,2,1,strict,0.002517532624391139,0.0,0.0,1.0,0.002517532624391139,0.002517532624391139,0,-0.0007194485647944547
40,flat_train:flat:27101,flat_train,flat,27101,fast,decision_time_s,balanced,2,1,strict,0.0035881818299848545,1.0,-0.0,0.0,0.0035881818299848545,0.0035881818299848545,0,-0.00021323070798582797
41,flat_train:flat:27101,flat_train,flat,27101,fast,decision_time_s,balanced,3,2,unsupported,-0.00011070292689635353,0.0,0.9542577310206076,0.04574226897939231,-0.00011070292689635352,-0.00011070292689635345,0,-0.0007194485647944547
45,flat_train:flat:27101,flat_train,flat,27101,stable,cost_stability,motion,2,1,strict,0.004439191128277148,1.0,-0.0,0.0,0.004439191128277148,0.004439191128277148,1,0.0027653069747099355
47,flat_train:flat:27101,flat_train,flat,27101,stable,cost_stability,balanced,2,1,strict,0.0035881818299848545,1.0,-0.0,0.0,0.0035881818299848545,0.0035881818299848545,0,-0.00021323070798582797
48,flat_train:flat:27101,flat_train,flat,27101,stable,cost_stability,motion,3,2,strict,0.004439191128277148,1.0,-0.0,0.0,0.004439191128277148,0.008027372958262002,1,0.0027653069747099355
52,flat_train:flat:27101,flat_train,flat,27101,efficient,cost_energy,balanced,2,1,strict,0.002517532624391139,0.0,0.0,1.0,0.002517532624391139,0.002517532624391139,0,-0.0007194485647944547
53,flat_train:flat:27101,flat_train,flat,27101,efficient,cost_energy,balanced,2,1,strict,0.002517532624391139,0.0,0.0,1.0,0.002517532624391139,0.002517532624391139,0,-0.0007194485647944547
55,flat_train:flat:27101,flat_train,flat,27101,efficient,cost_energy,balanced,2,1,strict,0.002517532624391139,0.0,0.0,1.0,0.002517532624391139,0.002517532624391139,0,-0.0007194485647944547
56,flat_train:flat:27101,flat_train,flat,27101,efficient,cost_energy,energy,3,2,strict,0.004318890149230925,0.0,0.0,1.0,0.004318890149230925,0.006836422773622064,1,0.002471343400670631
59,flat_train:flat:27102,flat_train,flat,27102,fast,decision_time_s,motion,2,1,strict,0.004773720675136928,1.0,-0.0,0.0,0.004773720675136928,0.004773720675136928,1,0.0023561018817700283
