terrain,mission,posterior_id_a,context_id_a,posterior_id_b,context_id_b,js_divergence_nats,posterior_overlap
flat,efficient,0,flat_train:flat:27100,3,flat_train:flat:27101,0.009213551134236646,0.930350930178197
flat,efficient,0,flat_train:flat:27100,6,flat_train:flat:27102,0.006512717298872906,0.927201323830004
flat,efficient,0,flat_train:flat:27100,9,flat_train:flat:27103,0.00023873398301514474,0.984016096695485
flat,efficient,0,flat_train:flat:27100,12,flat_train:flat:27104,0.02715219986330504,0.8291329801642361
flat,efficient,0,flat_train:flat:27100,15,flat_train:flat:27105,0.008414644476712006,0.9168490928668263
flat,efficient,0,flat_train:flat:27100,18,flat_train:flat:27106,0.0018762463361717736,0.9710336334731658
flat,efficient,0,flat_train:flat:27100,21,flat_train:flat:27107,0.003797473488202663,0.9432821751783214
flat,efficient,0,flat_train:flat:27100,24,flat_train:flat:27108,0.00032038819003538,0.9826461012123173
flat,efficient,0,flat_train:flat:27100,27,flat_train:flat:27109,0.018742831654402006,0.8491478195275205
flat,efficient,0,flat_train:flat:27100,30,flat_train:flat:27110,0.0004230001627317461,0.9815081064554627
flat,efficient,0,flat_train:flat:27100,33,flat_train:flat:27111,0.00014711477103118316,0.9885757004610306
flat,efficient,0,flat_train:flat:27100,36,flat_train:flat:27112,0.017178536308526244,0.8726556172667959
flat,efficient,0,flat_train:flat:27100,39,flat_train:flat:27113,0.0037418238749403927,0.9303822903104706
flat,efficient,0,flat_train:flat:27100,42,flat_train:flat:27114,0.013773433845202673,0.86822361890777
flat,efficient,0,flat_train:flat:27100,45,flat_train:flat:27115,0.00035056033752760285,0.9804665865793372
flat,efficient,0,flat_train:flat:27100,48,flat_train:flat:27116,0.00202790677224629,0.9592776566690008
flat,efficient,0,flat_train:flat:27100,51,flat_train:flat:27117,0.006976054395017573,0.9217026066129249
flat,efficient,3,flat_train:flat:27101,6,flat_train:flat:27102,0.02364313506338173,0.8730211768928618
flat,efficient,3,flat_train:flat:27101,9,flat_train:flat:27103,0.011409239407380492,0.9199156707213102
flat,efficient,3,flat_train:flat:27101,12,flat_train:flat:27104,0.020356669554675532,0.8448531048845709
flat,efficient,3,flat_train:flat:27101,15,flat_train:flat:27105,0.02561699875631022,0.8663857684759506
flat,efficient,3,flat_train:flat:27101,18,flat_train:flat:27106,0.017061953877888433,0.907654724485223
flat,efficient,3,flat_train:flat:27101,21,flat_train:flat:27107,0.011629760787538971,0.9261873931158353
flat,efficient,3,flat_train:flat:27101,24,flat_train:flat:27108,0.007553816666621659,0.9409000218376915
