decision_index,context_id,group,terrain,seed,mission,primary_metric,constraint_1,constraint_1_budget,constraint_2,constraint_2_budget,selected_beta_name,selected_cost_motion,selected_cost_stability,selected_cost_energy,selected_primary_value,good_candidate_count,feasible_choice_count,comparison_count,informative,decision_weight
0,flat_train:flat:27100,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011197067652175504,cost_energy,0.5434552248821048,motion,0.19835416724562394,0.011197067652175504,0.5434552248821048,6.955999999999997,4,1,0,0,0.0
1,flat_train:flat:27100,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011355144203711469,cost_energy,0.5387056566710693,balanced,0.2030304388839268,0.011355144203711469,0.5387056566710693,6.9540000000000015,4,1,0,0,0.0
2,flat_train:flat:27100,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011355144203711469,cost_energy,0.5434552248821048,balanced,0.2030304388839268,0.011355144203711469,0.5387056566710693,6.9540000000000015,4,2,1,1,0.16666666666666666
3,flat_train:flat:27100,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011441272882193914,cost_energy,0.5314020918061686,energy,0.2061011887426643,0.011441272882193914,0.5314020918061686,7.14,4,1,0,0,0.0
4,flat_train:flat:27100,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011441272882193914,cost_energy,0.5387056566710693,balanced,0.2030304388839268,0.011355144203711469,0.5387056566710693,6.9540000000000015,4,2,1,1,0.16666666666666666
5,flat_train:flat:27100,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011441272882193914,cost_energy,0.5434552248821048,balanced,0.2030304388839268,0.011355144203711469,0.5387056566710693,6.9540000000000015,4,3,2,1,0.16666666666666666
6,flat_train:flat:27100,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011453654655234728,cost_energy,0.5290985907145127,stability,0.20818512086391436,0.011453654655234728,0.5290985907145127,7.1640000000000015,4,1,0,0,0.0
7,flat_train:flat:27100,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011453654655234728,cost_energy,0.5314020918061686,energy,0.2061011887426643,0.011441272882193914,0.5314020918061686,7.14,4,2,1,1,0.16666666666666666
8,flat_train:flat:27100,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011453654655234728,cost_energy,0.5387056566710693,balanced,0.2030304388839268,0.011355144203711469,0.5387056566710693,6.9540000000000015,4,3,2,1,0.16666666666666666
9,flat_train:flat:27100,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011453654655234728,cost_energy,0.5434552248821048,balanced,0.2030304388839268,0.011355144203711469,0.5387056566710693,6.9540000000000015,4,4,3,1,0.16666666666666666
10,flat_train:flat:27100,flat_train,flat,27100,stable,cost_stability,decision_time_s,6.9540000000000015,cost_energy,0.5387056566710693,balanced,0.2030304388839268,0.011355144203711469,0.5387056566710693,0.011355144203711469,4,1,0,0,0.0
11,flat_train:flat:27100,flat_train,flat,27100,stable,cost_stability,decision_time_s,6.9540000000000015,cost_energy,0.5434552248821048,balanced,0.2030304388839268,0.011355144203711469,0.5387056566710693,0.011355144203711469,4,1,0,0,0.0
12,flat_train:flat:27100,flat_train,flat,27100,stable,cost_stability,decision_time_s,6.955999999999997,cost_energy,0.5387056566710693,balanced,0.2030304388839268,0.011355144203711469,0.5387056566710693,0.011355144203711469,4,1,0,0,0.0
13,flat_train:flat:27100,flat_train,flat,27100,stable,cost_stability,decision_time_s,6.955999999999997,cost_energy,0.5434552248821048,motion,0.19835416724562394,0.011197067652175504,0.5434552248821048,0.011197067652175504,4,2,1,1,0.16666666666666666
14,flat_train:flat:27100,flat_train,flat,27100,stable,cost_stability,decision_time_s,7.14,cost_energy,0.5314020918061686,energy,0.2061011887426643,0.011441272882193914,0.5314020918061686,0.011441272882193914,4,1,0,0,0.0
15,flat_train:flat:27100,flat_train,flat,27100,stable,cost_stability,decision_time_s,7.14,cost_energy,0.5387056566710693,balanced,0.2030304388839268,0.011355144203711469,0.5387056566710693,0.011355144203711469,4,2,1,1,0.16666666666666666
16,flat_train:flat:27100,flat_train,flat,27100,stable,cost_stability,decision_time_s,7.14,cost_energy,0.5434552248821048,motion,0.19835416724562394,0.011197067652175504,0.5434552248821048,0.011197067652175504,4,3,2,1,0.16666666666666666
17,flat_train:flat:27100,flat_train,flat,27100,stable,cost_stability,decision_time_s,7.1640000000000015,cost_energy,0.5290985907145127,stability,0.20818512086391436,0.011453654655234728,0.5290985907145127,0.011453654655234728,4,1,0,0,0.0
18,flat_train:flat:27100,flat_train,flat,27100,stable,cost_stability,decision_time_s,7.1640000000000015,cost_energy,0.5314020918061686,energy,0.2061011887426643,0.011441272882193914,0.5314020918061686,0.011441272882193914,4,2,1,1,0.16666666666666666
19,flat_train:flat:27100,flat_train,flat,27100,stable,cost_stability,decision_time_s,7.1640000000000015,cost_energy,0.5387056566710693,balanced,0.2030304388839268,0.011355144203711469,0.5387056566710693,0.011355144203711469,4,3,2,1,0.16666666666666666
20,flat_train:flat:27100,flat_train,flat,27100,stable,cost_stability,decision_time_s,7.1640000000000015,cost_energy,0.5434552248821048,motion,0.19835416724562394,0.011197067652175504,0.5434552248821048,0.011197067652175504,4,4,3,1,0.16666666666666666
21,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,decision_time_s,6.9540000000000015,cost_stability,0.011355144203711469,balanced,0.2030304388839268,0.011355144203711469,0.5387056566710693,0.5387056566710693,4,1,0,0,0.0
22,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,decision_time_s,6.9540000000000015,cost_stability,0.011441272882193914,balanced,0.2030304388839268,0.011355144203711469,0.5387056566710693,0.5387056566710693,4,1,0,0,0.0
23,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,decision_time_s,6.9540000000000015,cost_stability,0.011453654655234728,balanced,0.2030304388839268,0.011355144203711469,0.5387056566710693,0.5387056566710693,4,1,0,0,0.0
24,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,decision_time_s,6.955999999999997,cost_stability,0.011197067652175504,motion,0.19835416724562394,0.011197067652175504,0.5434552248821048,0.5434552248821048,4,1,0,0,0.0
25,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,decision_time_s,6.955999999999997,cost_stability,0.011355144203711469,balanced,0.2030304388839268,0.011355144203711469,0.5387056566710693,0.5387056566710693,4,2,1,1,0.1111111111111111
26,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,decision_time_s,6.955999999999997,cost_stability,0.011441272882193914,balanced,0.2030304388839268,0.011355144203711469,0.5387056566710693,0.5387056566710693,4,2,1,1,0.1111111111111111
27,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,decision_time_s,6.955999999999997,cost_stability,0.011453654655234728,balanced,0.2030304388839268,0.011355144203711469,0.5387056566710693,0.5387056566710693,4,2,1,1,0.1111111111111111
28,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,decision_time_s,7.14,cost_stability,0.011197067652175504,motion,0.19835416724562394,0.011197067652175504,0.5434552248821048,0.5434552248821048,4,1,0,0,0.0
29,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,decision_time_s,7.14,cost_stability,0.011355144203711469,balanced,0.2030304388839268,0.011355144203711469,0.5387056566710693,0.5387056566710693,4,2,1,1,0.1111111111111111
30,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,decision_time_s,7.14,cost_stability,0.011441272882193914,energy,0.2061011887426643,0.011441272882193914,0.5314020918061686,0.5314020918061686,4,3,2,1,0.1111111111111111
31,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,decision_time_s,7.14,cost_stability,0.011453654655234728,energy,0.2061011887426643,0.011441272882193914,0.5314020918061686,0.5314020918061686,4,3,2,1,0.1111111111111111
32,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,decision_time_s,7.1640000000000015,cost_stability,0.011197067652175504,motion,0.19835416724562394,0.011197067652175504,0.5434552248821048,0.5434552248821048,4,1,0,0,0.0
33,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,decision_time_s,7.1640000000000015,cost_stability,0.011355144203711469,balanced,0.2030304388839268,0.011355144203711469,0.5387056566710693,0.5387056566710693,4,2,1,1,0.1111111111111111
34,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,decision_time_s,7.1640000000000015,cost_stability,0.011441272882193914,energy,0.2061011887426643,0.011441272882193914,0.5314020918061686,0.5314020918061686,4,3,2,1,0.1111111111111111
35,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,decision_time_s,7.1640000000000015,cost_stability,0.011453654655234728,stability,0.20818512086391436,0.011453654655234728,0.5290985907145127,0.5290985907145127,4,4,3,1,0.1111111111111111
36,flat_train:flat:27101,flat_train,flat,27101,fast,decision_time_s,cost_stability,0.011111225650874785,cost_energy,0.5394416710116232,motion,0.19893305317709045,0.011111225650874785,0.5394416710116232,6.9639999999999995,3,1,0,0,0.0
37,flat_train:flat:27101,flat_train,flat,27101,fast,decision_time_s,cost_stability,0.01134791284137214,cost_energy,0.5369241383872321,balanced,0.2033722443053676,0.01134791284137214,0.5369241383872321,6.961999999999999,3,1,0,0,0.0
38,flat_train:flat:27101,flat_train,flat,27101,fast,decision_time_s,cost_stability,0.01134791284137214,cost_energy,0.5394416710116232,balanced,0.2033722443053676,0.01134791284137214,0.5369241383872321,6.961999999999999,3,2,1,1,0.3333333333333333
39,flat_train:flat:27101,flat_train,flat,27101,fast,decision_time_s,cost_stability,0.011438929036660727,cost_energy,0.5326052482380011,energy,0.20696042613535245,0.011438929036660727,0.5326052482380011,7.154000000000003,3,1,0,0,0.0
40,flat_train:flat:27101,flat_train,flat,27101,fast,decision_time_s,cost_stability,0.011438929036660727,cost_energy,0.5369241383872321,balanced,0.2033722443053676,0.01134791284137214,0.5369241383872321,6.961999999999999,3,2,1,1,0.3333333333333333
41,flat_train:flat:27101,flat_train,flat,27101,fast,decision_time_s,cost_stability,0.011438929036660727,cost_energy,0.5394416710116232,balanced,0.2033722443053676,0.01134791284137214,0.5369241383872321,6.961999999999999,3,3,2,1,0.3333333333333333
42,flat_train:flat:27101,flat_train,flat,27101,stable,cost_stability,decision_time_s,6.961999999999999,cost_energy,0.5369241383872321,balanced,0.2033722443053676,0.01134791284137214,0.5369241383872321,0.01134791284137214,3,1,0,0,0.0
43,flat_train:flat:27101,flat_train,flat,27101,stable,cost_stability,decision_time_s,6.961999999999999,cost_energy,0.5394416710116232,balanced,0.2033722443053676,0.01134791284137214,0.5369241383872321,0.01134791284137214,3,1,0,0,0.0
44,flat_train:flat:27101,flat_train,flat,27101,stable,cost_stability,decision_time_s,6.9639999999999995,cost_energy,0.5369241383872321,balanced,0.2033722443053676,0.01134791284137214,0.5369241383872321,0.01134791284137214,3,1,0,0,0.0
45,flat_train:flat:27101,flat_train,flat,27101,stable,cost_stability,decision_time_s,6.9639999999999995,cost_energy,0.5394416710116232,motion,0.19893305317709045,0.011111225650874785,0.5394416710116232,0.011111225650874785,3,2,1,1,0.3333333333333333
46,flat_train:flat:27101,flat_train,flat,27101,stable,cost_stability,decision_time_s,7.154000000000003,cost_energy,0.5326052482380011,energy,0.20696042613535245,0.011438929036660727,0.5326052482380011,0.011438929036660727,3,1,0,0,0.0
47,flat_train:flat:27101,flat_train,flat,27101,stable,cost_stability,decision_time_s,7.154000000000003,cost_energy,0.5369241383872321,balanced,0.2033722443053676,0.01134791284137214,0.5369241383872321,0.01134791284137214,3,2,1,1,0.3333333333333333
48,flat_train:flat:27101,flat_train,flat,27101,stable,cost_stability,decision_time_s,7.154000000000003,cost_energy,0.5394416710116232,motion,0.19893305317709045,0.011111225650874785,0.5394416710116232,0.011111225650874785,3,3,2,1,0.3333333333333333
49,flat_train:flat:27101,flat_train,flat,27101,efficient,cost_energy,decision_time_s,6.961999999999999,cost_stability,0.01134791284137214,balanced,0.2033722443053676,0.01134791284137214,0.5369241383872321,0.5369241383872321,3,1,0,0,0.0
