decision_index,pair_index,context_id,group,terrain,seed,mission,primary_metric,constraint_1,constraint_1_budget,constraint_2,constraint_2_budget,selected_beta_name,alternative_beta_name,delta_cost_motion,delta_cost_stability,delta_cost_energy,feasible_choice_count,decision_weight,pair_weight
2,0,flat_train:flat:27100,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011355144203711469,cost_energy,0.5434552248821048,balanced,motion,-0.004676271638302865,-0.00015807655153596452,0.00474956821103556,2,0.16666666666666666,0.16666666666666666
4,0,flat_train:flat:27100,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011441272882193914,cost_energy,0.5387056566710693,balanced,energy,0.0030707498587375093,8.612867848244513e-05,-0.007303564864900691,2,0.16666666666666666,0.16666666666666666
5,0,flat_train:flat:27100,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011441272882193914,cost_energy,0.5434552248821048,balanced,motion,-0.004676271638302865,-0.00015807655153596452,0.00474956821103556,3,0.16666666666666666,0.08333333333333333
5,1,flat_train:flat:27100,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011441272882193914,cost_energy,0.5434552248821048,balanced,energy,0.0030707498587375093,8.612867848244513e-05,-0.007303564864900691,3,0.16666666666666666,0.08333333333333333
7,0,flat_train:flat:27100,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011453654655234728,cost_energy,0.5314020918061686,energy,stability,0.0020839321212500483,1.2381773040814198e-05,-0.0023035010916558907,2,0.16666666666666666,0.16666666666666666
8,0,flat_train:flat:27100,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011453654655234728,cost_energy,0.5387056566710693,balanced,stability,0.005154681979987558,9.851045152325932e-05,-0.009607065956556582,3,0.16666666666666666,0.08333333333333333
8,1,flat_train:flat:27100,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011453654655234728,cost_energy,0.5387056566710693,balanced,energy,0.0030707498587375093,8.612867848244513e-05,-0.007303564864900691,3,0.16666666666666666,0.08333333333333333
9,0,flat_train:flat:27100,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011453654655234728,cost_energy,0.5434552248821048,balanced,motion,-0.004676271638302865,-0.00015807655153596452,0.00474956821103556,4,0.16666666666666666,0.05555555555555555
9,1,flat_train:flat:27100,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011453654655234728,cost_energy,0.5434552248821048,balanced,stability,0.005154681979987558,9.851045152325932e-05,-0.009607065956556582,4,0.16666666666666666,0.05555555555555555
9,2,flat_train:flat:27100,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011453654655234728,cost_energy,0.5434552248821048,balanced,energy,0.0030707498587375093,8.612867848244513e-05,-0.007303564864900691,4,0.16666666666666666,0.05555555555555555
13,0,flat_train:flat:27100,flat_train,flat,27100,stable,cost_stability,decision_time_s,6.955999999999997,cost_energy,0.5434552248821048,motion,balanced,0.004676271638302865,0.00015807655153596452,-0.00474956821103556,2,0.16666666666666666,0.16666666666666666
15,0,flat_train:flat:27100,flat_train,flat,27100,stable,cost_stability,decision_time_s,7.14,cost_energy,0.5387056566710693,balanced,energy,0.0030707498587375093,8.612867848244513e-05,-0.007303564864900691,2,0.16666666666666666,0.16666666666666666
16,0,flat_train:flat:27100,flat_train,flat,27100,stable,cost_stability,decision_time_s,7.14,cost_energy,0.5434552248821048,motion,balanced,0.004676271638302865,0.00015807655153596452,-0.00474956821103556,3,0.16666666666666666,0.08333333333333333
16,1,flat_train:flat:27100,flat_train,flat,27100,stable,cost_stability,decision_time_s,7.14,cost_energy,0.5434552248821048,motion,energy,0.007747021497040374,0.00024420523001840964,-0.012053133075936251,3,0.16666666666666666,0.08333333333333333
18,0,flat_train:flat:27100,flat_train,flat,27100,stable,cost_stability,decision_time_s,7.1640000000000015,cost_energy,0.5314020918061686,energy,stability,0.0020839321212500483,1.2381773040814198e-05,-0.0023035010916558907,2,0.16666666666666666,0.16666666666666666
19,0,flat_train:flat:27100,flat_train,flat,27100,stable,cost_stability,decision_time_s,7.1640000000000015,cost_energy,0.5387056566710693,balanced,stability,0.005154681979987558,9.851045152325932e-05,-0.009607065956556582,3,0.16666666666666666,0.08333333333333333
19,1,flat_train:flat:27100,flat_train,flat,27100,stable,cost_stability,decision_time_s,7.1640000000000015,cost_energy,0.5387056566710693,balanced,energy,0.0030707498587375093,8.612867848244513e-05,-0.007303564864900691,3,0.16666666666666666,0.08333333333333333
20,0,flat_train:flat:27100,flat_train,flat,27100,stable,cost_stability,decision_time_s,7.1640000000000015,cost_energy,0.5434552248821048,motion,balanced,0.004676271638302865,0.00015807655153596452,-0.00474956821103556,4,0.16666666666666666,0.05555555555555555
20,1,flat_train:flat:27100,flat_train,flat,27100,stable,cost_stability,decision_time_s,7.1640000000000015,cost_energy,0.5434552248821048,motion,stability,0.009830953618290422,0.00025658700305922384,-0.014356634167592142,4,0.16666666666666666,0.05555555555555555
20,2,flat_train:flat:27100,flat_train,flat,27100,stable,cost_stability,decision_time_s,7.1640000000000015,cost_energy,0.5434552248821048,motion,energy,0.007747021497040374,0.00024420523001840964,-0.012053133075936251,4,0.16666666666666666,0.05555555555555555
