signature_id,context_id,terrain,mission,selected_beta_name,alternative_beta_names,choice_size,raw_decision_multiplicity,calibration_weight,exact_support_class,posterior_mean_motion,posterior_mean_stability,posterior_mean_energy,posterior_std_motion,posterior_std_stability,posterior_std_energy,posterior_map_motion,posterior_map_stability,posterior_map_energy,motion_q05,motion_q95,stability_q05,stability_q95,energy_q05,energy_q95,posterior_entropy_nats,posterior_entropy_normalized,posterior_information_gain_nats,posterior_effective_fraction,log_marginal_evidence,map_selected_choice_probability,posterior_expected_choice_probability
0,flat_train:flat:27100,flat,fast,balanced,motion,2,1,0.16666666666666666,strict,0.22211431505261042,0.32973282150214195,0.448152863445248,0.17748727735624212,0.23788240630572766,0.24033350778959847,0.0,0.0,1.0,0.01,0.57,0.02,0.78,0.06,0.85,8.376511339748479,0.9800589816719778,0.17043480981710601,0.8432980625916794,-0.7028941933337105,0.9723925441252887,0.6461221906202701
1,flat_train:flat:27100,flat,fast,balanced,energy,2,1,0.16666666666666666,strict,0.4693103326126509,0.3590986009081841,0.1715910664791644,0.2495269588792426,0.249312996491411,0.14538207413543844,1.0,0.0,0.0,0.06,0.87,0.02,0.82,0.01,0.46,8.22896147484782,0.962795521446695,0.31798467471776526,0.7276139392181269,-1.0670766866544268,0.9091035070144615,0.5416859724213556
2,flat_train:flat:27100,flat,fast,balanced,energy|motion,3,1,0.16666666666666666,unsupported,0.33085637375954896,0.42637317007921116,0.24277045616124066,0.20966088836390356,0.2545249551347468,0.16669979119747963,0.0,1.0,0.0,0.03,0.7,0.04,0.85,0.02,0.55,8.362014902913323,0.9783628861799181,0.1849312466522619,0.8311614270183292,-1.9178832961304044,0.3264446051947231,0.1944075760633477
3,flat_train:flat:27100,flat,fast,energy,stability,2,1,0.16666666666666666,strict,0.39859418599608465,0.33548103605192714,0.2659247779519882,0.24826311878513804,0.2398995217087005,0.2098344537289208,1.0,0.0,0.0,0.04,0.83,0.02,0.79,0.01,0.68,8.493255016522351,0.993718091572864,0.05369113304323392,0.9477247821698704,-0.7161887204747099,0.8267445450742235,0.5388654981010306
4,flat_train:flat:27100,flat,fast,balanced,energy|stability,3,1,0.16666666666666666,strict,0.5131328018163089,0.3411008905488037,0.14576630763488782,0.24460740629905425,0.24540515371707744,0.12568282489725055,1.0,0.0,0.0,0.08,0.88,0.02,0.8,0.0,0.39,8.072264360426761,0.9444618252142667,0.474681789138824,0.6220829785331959,-1.3531614803605247,0.8921100729956887,0.49481753378844084
5,flat_train:flat:27100,flat,fast,balanced,energy|motion|stability,4,1,0.16666666666666666,unsupported,0.36764112314445957,0.4261182041037375,0.2062406727518032,0.21458344598549028,0.25615630610487233,0.1470571233669912,0.06,0.94,0.0,0.04,0.73,0.04,0.86,0.01,0.48,8.271825621435978,0.9678106632105562,0.27512052812960697,0.7594805789345962,-2.2525654937605317,0.25386458434233217,0.15421658528228646
6,flat_train:flat:27100,flat,stable,motion,balanced,2,1,0.16666666666666666,strict,0.4424155039696899,0.33686466863928793,0.2207198273910213,0.2416973561469608,0.24045589144859672,0.1763024502805699,1.0,0.0,0.0,0.06,0.84,0.02,0.79,0.01,0.57,8.380759082158917,0.9805559711622713,0.16618706740666767,0.8468877942669768,-0.6834942557057397,0.9708780596122678,0.6529212343005323
7,flat_train:flat:27100,flat,stable,balanced,energy,2,1,0.16666666666666666,strict,0.4693103326126509,0.3590986009081841,0.1715910664791644,0.2495269588792426,0.249312996491411,0.14538207413543844,1.0,0.0,0.0,0.06,0.87,0.02,0.82,0.01,0.46,8.22896147484782,0.962795521446695,0.31798467471776526,0.7276139392181269,-1.0670766866544268,0.9091035070144615,0.5416859724213556
8,flat_train:flat:27100,flat,stable,motion,balanced|energy,3,1,0.16666666666666666,strict,0.5189091305671779,0.3288259322429401,0.1522649371898828,0.23172998982474746,0.23979982899967653,0.1214085455030434,1.0,0.0,0.0,0.11,0.87,0.02,0.78,0.01,0.39,8.055538100511578,0.9425048385172072,0.4914080490540069,0.61176439318189,-1.0863283581027243,0.9680593127872611,0.6342457655857707
9,flat_train:flat:27100,flat,stable,energy,stability,2,1,0.16666666666666666,strict,0.39859418599608465,0.33548103605192714,0.2659247779519882,0.24826311878513804,0.2398995217087005,0.2098344537289208,1.0,0.0,0.0,0.04,0.83,0.02,0.79,0.01,0.68,8.493255016522351,0.993718091572864,0.05369113304323392,0.9477247821698704,-0.7161887204747099,0.8267445450742235,0.5388654981010306
