kappa_index,kappa,weighted_log_evidence
0,0.1,-154.28323576783743
1,0.1333521432163324,-154.2825569021845
2,0.1778279410038923,-154.28165184528865
3,0.23713737056616552,-154.2804453326259
4,0.31622776601683794,-154.2788371336071
5,0.4216965034285822,-154.2766938308886
6,0.5623413251903491,-154.27383794039534
7,0.7498942093324559,-154.27003354926498
8,1.0,-154.26496742432155
9,1.333521432163324,-154.2582242827686
10,1.7782794100389228,-154.24925463712353
11,2.371373705661655,-154.23733337383715
12,3.1622776601683795,-154.22150709919816
13,4.216965034285822,-154.20052848409077
14,5.623413251903491,-154.17277672562335
15,7.498942093324558,-154.13616544823574
16,10.0,-154.08804387523867
17,13.33521432163324,-154.02510517961525
18,17.78279410038923,-153.94332836574992
19,23.71373705661655,-153.83799447120842
20,31.622776601683793,-153.70382198086935
21,42.169650342858226,-153.53522675993207
22,56.23413251903491,-153.32657352920464
23,74.98942093324558,-153.07203809687425
24,100.0,-152.76458839475862
25,133.3521432163324,-152.3942844574625
26,177.82794100389228,-151.94804502510482
27,237.13737056616552,-151.41565261204326
28,316.22776601683796,-150.808277946927
29,421.6965034285823,-150.1897022089639
30,562.341325190349,-149.70226123460057
31,749.8942093324558,-149.5590336882867
32,1000.0,-149.99130625286196
33,1333.521432163324,-151.17148772430048
34,1778.2794100389228,-153.15417350459296
35,2371.373705661655,-155.8703634089863
36,3162.2776601683795,-159.17203199749633
