context_index,context_id,group,terrain,seed,beta_name,beta_motion,beta_stability,beta_energy,feasible,strict_feasible,pareto_nondominated,good_candidate,cost_motion,cost_stability,cost_energy,motion_rank,stability_rank,energy_rank,episode_energy_abs_j,decision_time_s,roll_rms_rad,pitch_rms_rad,mean_applied_vx_mps
0,flat_train:flat:27100,flat_train,flat,27100,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.2030304388839268,0.011355144203711469,0.5387056566710693,2,2,3,160.06022391263184,6.9540000000000015,0.003778554270891437,0.02789747874671039,0.2183101551497684
0,flat_train:flat:27100,flat_train,flat,27100,motion,0.7,0.15,0.15,True,True,True,True,0.19835416724562394,0.011197067652175504,0.5434552248821048,1,1,4,161.47141561246366,6.955999999999997,0.003816020938144874,0.027702615777655447,0.22243943231947286
0,flat_train:flat:27100,flat_train,flat,27100,stability,0.15,0.7,0.15,True,True,True,True,0.20818512086391436,0.011453654655234728,0.5290985907145127,4,4,1,161.8294716807193,7.1640000000000015,0.00346879466719352,0.028018228194732687,0.21397479046668327
0,flat_train:flat:27100,flat_train,flat,27100,energy,0.15,0.15,0.7,True,True,True,True,0.2061011887426643,0.011441272882193914,0.5314020918061686,3,3,2,162.5340178111016,7.14,0.0036764835179789565,0.02800308010901674,0.2154584084876946
1,flat_train:flat:27101,flat_train,flat,27101,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.2033722443053676,0.01134791284137214,0.5369241383872321,2,2,3,159.53089920277537,6.961999999999999,0.0037511839412846955,0.027888594225758234,0.21829881484017652
1,flat_train:flat:27101,flat_train,flat,27101,motion,0.7,0.15,0.15,True,True,True,True,0.19893305317709045,0.011111225650874785,0.5394416710116232,1,1,4,160.27890849240765,6.9639999999999995,0.0038264147560206677,0.027596220685015938,0.22243321691365803
1,flat_train:flat:27101,flat_train,flat,27101,stability,0.15,0.7,0.15,True,True,False,False,0.20839270712618246,0.011506328068625202,0.5327116957648218,4,4,2,162.93457173518902,7.163999999999999,0.003563619971756292,0.02808257968681499,0.21397700422576496
1,flat_train:flat:27101,flat_train,flat,27101,energy,0.15,0.15,0.7,True,True,True,True,0.20696042613535245,0.011438929036660727,0.5326052482380011,3,3,1,162.90201382003022,7.154000000000003,0.003695237150883011,0.02800021126300583,0.21544376145516123
2,flat_train:flat:27102,flat_train,flat,27102,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.20303906793465695,0.011385505444421061,0.5382371881359014,2,2,3,159.92103254215624,6.968000000000001,0.00372037718468424,0.027934749690911736,0.21829226196688764
2,flat_train:flat:27102,flat_train,flat,27102,motion,0.7,0.15,0.15,True,True,True,True,0.19826534725952003,0.01120368871834812,0.5449890221341465,1,1,4,161.9271374497197,6.9579999999999975,0.00386258166127407,0.02771080508852679,0.22244732244049806
2,flat_train:flat:27102,flat_train,flat,27102,stability,0.15,0.7,0.15,True,True,True,True,0.20842490210642345,0.011459994923857209,0.5300421826284357,4,3,1,162.1180775919657,7.153999999999999,0.00350890579491211,0.028025981957267493,0.21397974723151753
