packet_index,sim_time,schedule_offset,window,condition,command,expected_delta,leg,leg_index,phase,swing,shape,bump,target_z,actual_z,tracking_error,native_target_z,realized_relative_z,base_z,roll_deg,pitch_deg,yaw_deg,base_vz
1,54.2395,0.008762121200561523,A1,A,0.045,0.0,FL,0,0.10000000149011612,1,0.12960000343322756,0.0,-0.32507405297854025,-0.3360077404673647,-0.01093368748882445,-0.32507405297854025,-0.01093368748882445,0.346875434800573,-1.220530322456884,6.274803681384593,-3.3757282959479435,-0.01077498061687433
1,54.2395,0.008762121200561523,A1,A,0.045,0.0,FR,1,0.0,0,0.0,0.0,-0.34363073609267886,-0.34363073609267886,0.0,-0.34363073609267886,0.0,0.346875434800573,-1.220530322456884,6.274803681384593,-3.3757282959479435,-0.01077498061687433
1,54.2395,0.008762121200561523,A1,A,0.045,0.0,RL,2,0.0,0,0.0,0.0,-0.34577780287900733,-0.34577780287900733,0.0,-0.34577780287900733,0.0,0.346875434800573,-1.220530322456884,6.274803681384593,-3.3757282959479435,-0.01077498061687433
1,54.2395,0.008762121200561523,A1,A,0.045,0.0,RR,3,0.10000000149011612,1,0.12960000343322756,0.0,-0.32845659196178884,-0.3379003382792876,-0.00944374631749878,-0.32845659196178884,-0.00944374631749878,0.346875434800573,-1.220530322456884,6.274803681384593,-3.3757282959479435,-0.01077498061687433
2,54.252,0.05931401252746582,A1,A,0.045,0.0,FL,0,0.20000000298023224,1,0.40960000915527345,0.0,-0.28381789881643027,-0.3034784759679356,-0.01966057715150532,-0.28381789881643027,-0.01966057715150532,0.34789353618367025,-1.2488684485883685,5.8616958570575814,-3.3289625065615316,0.10491106095271695
2,54.252,0.05931401252746582,A1,A,0.045,0.0,FR,1,0.0,0,0.0,0.0,-0.3453220183423943,-0.3453220183423943,0.0,-0.3453220183423943,0.0,0.34789353618367025,-1.2488684485883685,5.8616958570575814,-3.3289625065615316,0.10491106095271695
2,54.252,0.05931401252746582,A1,A,0.045,0.0,RL,2,0.0,0,0.0,0.0,-0.3477444796960889,-0.3477444796960889,0.0,-0.3477444796960889,0.0,0.34789353618367025,-1.2488684485883685,5.8616958570575814,-3.3289625065615316,0.10491106095271695
2,54.252,0.05931401252746582,A1,A,0.045,0.0,RR,3,0.20000000298023224,1,0.40960000915527345,0.0,-0.2867417944836542,-0.30207285012732893,-0.015331055643674707,-0.2867417944836542,-0.015331055643674707,0.34789353618367025,-1.2488684485883685,5.8616958570575814,-3.3289625065615316,0.10491106095271695
3,54.275,0.15064597129821777,A1,A,0.045,0.0,FL,0,0.30000001192092896,1,0.7056000320434566,0.0,-0.24038750122466868,-0.25924081111194575,-0.01885330988727707,-0.24038750122466868,-0.01885330988727707,0.3478739483474999,-1.027762280907879,5.277517468341669,-3.3134078223896437,-0.09645640807907335
3,54.275,0.15064597129821777,A1,A,0.045,0.0,FR,1,0.0,0,0.0,0.0,-0.3440400448041452,-0.3440400448041452,0.0,-0.3440400448041452,0.0,0.3478739483474999,-1.027762280907879,5.277517468341669,-3.3134078223896437,-0.09645640807907335
3,54.275,0.15064597129821777,A1,A,0.045,0.0,RL,2,0.0,0,0.0,0.0,-0.34585739785620245,-0.34585739785620245,0.0,-0.34585739785620245,0.0,0.3478739483474999,-1.027762280907879,5.277517468341669,-3.3134078223896437,-0.09645640807907335
3,54.275,0.15064597129821777,A1,A,0.045,0.0,RR,3,0.30000001192092896,1,0.7056000320434566,0.0,-0.24271355439299447,-0.25719290592758215,-0.014479351534587681,-0.24271355439299447,-0.014479351534587681,0.3478739483474999,-1.027762280907879,5.277517468341669,-3.3134078223896437,-0.09645640807907335
4,54.29525,0.23155498504638672,A1,A,0.045,0.0,FL,0,0.4000000059604645,1,0.9216000091552732,0.0,-0.209009208775591,-0.2191586128857616,-0.010149404110170596,-0.209009208775591,-0.010149404110170596,0.34821869227128566,-0.8730832428226343,4.916032325602019,-3.334410392538791,0.10470413625795415
4,54.29525,0.23155498504638672,A1,A,0.045,0.0,FR,1,0.0,0,0.0,0.0,-0.34574604364953615,-0.34574604364953615,0.0,-0.34574604364953615,0.0,0.34821869227128566,-0.8730832428226343,4.916032325602019,-3.334410392538791,0.10470413625795415
