t_wall,context,x,y,action_id,hold_override,emp_age_s,proj_age_s,theta_age_s,emp_seq,emp_vx,emp_yaw_rate,emp_body_h,emp_clearance,emp_enable,proj_seq,proj_vx,proj_yaw_rate,proj_body_h,proj_clearance,proj_enable,out_seq,out_vx,out_yaw_rate,out_body_h,out_clearance,out_enable,delta_vx,delta_yaw_rate,delta_body_h,delta_clearance,j7_accept,j7_reason,j7_source
1785204145.333669,flat,0.000000,0.000000,1,0,0.002789,0.002727,0.002676,5300001,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300001,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300001,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204145.383446,flat,0.000000,0.000000,1,0,0.002132,0.002021,0.001914,5300003,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300003,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300003,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204145.433406,flat,0.000000,0.000000,1,0,0.001924,0.001804,0.001686,5300005,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300005,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300005,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204145.483352,flat,0.000000,0.000000,1,0,0.002436,0.002376,0.002325,5300007,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300007,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300007,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204145.533426,flat,0.000000,0.000000,1,0,0.002470,0.002407,0.002355,5300009,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300009,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300009,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204145.583364,flat,0.000000,0.000000,1,0,0.002473,0.002412,0.002361,5300011,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300011,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300011,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204145.633373,flat,0.000000,0.000000,1,0,0.002377,0.002311,0.002259,5300013,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300013,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300013,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204145.683370,flat,0.000000,0.000000,1,0,0.002166,0.002087,0.002018,5300015,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300015,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300015,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204145.733421,flat,0.000000,0.000000,1,0,0.001672,0.001572,0.001488,5300017,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300017,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300017,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204145.783396,flat,0.000000,0.000000,1,0,0.002127,0.002049,0.001952,5300019,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300019,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300019,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204145.833374,flat,0.000000,0.000000,1,0,0.002058,0.001965,0.001887,5300021,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300021,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300021,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204145.883382,flat,0.000000,0.000000,1,0,0.002432,0.002371,0.002320,5300023,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300023,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300023,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204145.933616,flat,0.000000,0.000000,1,0,0.002609,0.002541,0.002488,5300025,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300025,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300025,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204145.983371,flat,0.000000,0.000000,1,0,0.002431,0.002362,0.002296,5300027,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300027,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300027,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204146.033422,flat,0.000000,0.000000,1,0,0.001820,0.001755,0.001693,5300029,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300029,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300029,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204146.083402,flat,0.000000,0.000000,1,0,0.002142,0.002048,0.001976,5300031,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300031,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300031,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204146.133469,flat,0.000000,0.000000,1,0,0.001981,0.001868,0.001752,5300033,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300033,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300033,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204146.183472,flat,0.000000,0.000000,1,0,0.002259,0.002198,0.002149,5300035,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300035,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300035,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204146.233436,flat,0.000000,0.000000,1,0,0.002542,0.002478,0.002427,5300037,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300037,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300037,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204146.283431,flat,0.000000,0.000000,1,0,0.002337,0.002269,0.002214,5300039,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300039,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300039,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204146.333346,flat,0.000000,0.000000,1,0,0.002376,0.002311,0.002259,5300041,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300041,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300041,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204146.383455,flat,0.000000,0.000000,1,0,0.002533,0.002473,0.002421,5300043,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300043,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300043,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204146.433335,flat,0.000000,0.000000,1,0,0.002219,0.002155,0.002102,5300045,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300045,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300045,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204146.483524,flat,0.000000,0.000000,1,0,0.002539,0.002461,0.002381,5300047,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300047,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300047,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204146.533512,flat,0.000000,0.000000,1,0,0.002540,0.002481,0.002430,5300049,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300049,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300049,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204146.583341,flat,0.000000,0.000000,1,0,0.002444,0.002387,0.002337,5300051,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300051,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300051,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204146.633408,flat,0.000000,0.000000,1,0,0.002477,0.002405,0.002353,5300053,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300053,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300053,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204146.683438,flat,0.000000,0.000000,1,0,0.002525,0.002466,0.002415,5300055,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300055,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300055,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204146.733373,flat,0.000000,0.000000,1,0,0.002413,0.002348,0.002295,5300057,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300057,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300057,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204146.783414,flat,0.000000,0.000000,1,0,0.002281,0.002197,0.002126,5300059,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300059,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300059,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204146.833366,flat,0.000000,0.000000,1,0,0.002446,0.002385,0.002335,5300061,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300061,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300061,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204146.883827,flat,0.000000,0.000000,1,0,0.002883,0.002820,0.002768,5300063,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300063,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300063,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204146.933343,flat,0.000000,0.000000,1,0,0.002413,0.002344,0.002278,5300065,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300065,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300065,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204146.983406,flat,0.000000,0.000000,1,0,0.002481,0.002396,0.002295,5300067,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300067,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300067,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204147.033415,flat,0.000000,0.000000,1,0,0.002217,0.002150,0.002098,5300069,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300069,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300069,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785204147.083374,flat,0.000000,0.000000,1,0,0.002048,0.001954,0.001878,5300071,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5300071,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5300071,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
