leg,phase_bin,a1_samples,b1_samples,b2_samples,a2_samples,mean_phase,mean_shape,a_endpoint_native_drift,b_half_native_drift,native_effect,bump_effect,target_effect,tracking_effect,relative_effect,actual_effect,target_decomposition_error,actual_decomposition_error
FL,6,3,3,3,3,0.4000000059604645,0.9216000091552732,-0.006948690643484912,-0.0008914458471717679,-0.005278712237692995,0.00460800004577637,-0.0006707121919166115,-0.000707802712724824,0.0039001973330515614,-0.0013785149046414424,1.3877787807814457e-17,-8.673617379884035e-18
FL,8,3,3,3,3,0.5,1.0,-0.004569583066402122,-0.0005862307097625474,-0.0034713754419888887,0.0050000000000000044,0.0015286245580111157,-0.001160316172885631,0.003839683827114373,0.0003683083851254987,0.0,1.431146867680866e-17
FL,9,3,3,3,3,0.6000000238418579,0.9215999633789023,-0.002620381311974146,-0.00033616808668204823,-0.0019906252283527492,0.004607999816894515,0.0026173745885417765,-0.0007261440476999705,0.0038818557691945553,0.0018912305408417818,1.0408340855860843e-17,-2.42861286636753e-17
FR,6,3,3,3,3,0.4000000059604645,0.9216000091552732,-0.0033677955643033053,0.0014183835702935021,-0.004329033122601855,0.00460800004577637,0.0002789669231745284,-0.00040025475949981293,0.004207745286276571,-0.00012128783632525675,1.3877787807814457e-17,2.7755575615628914e-17
FR,8,3,4,3,3,0.5,1.0,-0.002214722509797401,0.0008145742319299043,-0.0027877594275659834,0.0050000000000000044,0.002212240572434021,-0.0012533743778601926,0.0037466256221398123,0.0009588661945738042,0.0,-2.47198095326695e-17
FR,9,3,3,4,3,0.6000000238418579,0.9215999633789023,-0.0012700102813648917,0.0001413148604279546,-0.0016420713951535437,0.004607999816894515,0.002965928421740982,-0.0003903070733123487,0.004217692743582177,0.0025756213484286195,1.0408340855860843e-17,-1.3877787807814457e-17
RL,6,3,3,3,3,0.4000000059604645,0.9216000091552732,-0.002909773030058238,0.0013302535684623362,-0.004307250370764404,0.00460800004577637,0.0003007496750119798,-0.0006843293845896388,0.003923670661186745,-0.0003835797095776694,1.3877787807814457e-17,-1.0408340855860843e-17
RL,8,3,4,3,3,0.5,1.0,-0.001913518711283313,0.000741688114904937,-0.002765969573994276,0.0050000000000000044,0.0022340304260057287,0.00031043338737176546,0.00531043338737177,0.0025444638133774733,0.0,-2.0816681711721685e-17
RL,9,3,3,4,3,0.6000000238418579,0.9215999633789023,-0.0010972880016179576,0.00014063839834557723,-0.0016265424898205538,0.004607999816894515,0.002981457327073972,-0.0003226344614764287,0.004285365355418097,0.0026588228655975432,1.0408340855860843e-17,0.0
RR,6,3,3,3,3,0.4000000059604645,0.9216000091552732,-0.006110603680991866,-0.0010581170075037727,-0.005014974262654348,0.00460800004577637,-0.0004069742168779644,-0.0011776807789465379,0.0034303192668298475,-0.0015846549958244416,1.3877787807814457e-17,5.898059818321144e-17
RR,8,3,3,3,3,0.5,1.0,-0.004018442112160431,-0.0006958366414390182,-0.003297936639409027,0.0050000000000000044,0.0017020633605909774,9.237068820293337e-05,0.005092370688202938,0.0017944340487939248,0.0,1.3877787807814457e-17
RR,9,3,3,3,3,0.6000000238418579,0.9215999633789023,-0.0023043350916139016,-0.00039902050250925636,-0.0018911684966450015,0.004607999816894515,0.0027168313202495242,0.0010384296819069827,0.005646429498801512,0.003755261002156479,1.0408340855860843e-17,-3.122502256758253e-17
