leg,phase_bin,accepted_samples,rejected_samples,mean_phase,mean_shape,accepted_bump,rejected_bump,bump_delta,accepted_target_z,rejected_target_z,target_delta,accepted_actual_z,rejected_actual_z,actual_delta,tracking_error_change
FL,6,5,5,0.4000000059604645,0.9216000091552732,0.00460800004577637,0.0,0.00460800004577637,-0.20980240181611876,-0.2039777992421301,-0.0058246025739886464,-0.2208629053279687,-0.21661649113507184,-0.004246414192896869,0.001578188381091767
FL,8,5,5,0.5,1.0,0.0050000000000000044,0.0,0.0050000000000000044,-0.1967429516214708,-0.19488228581898925,-0.001860665802481537,-0.1966327395032193,-0.19338770819076231,-0.0032450313124569863,-0.0013843655099754326
FL,9,5,5,0.6000000238418579,0.9215999633789023,0.004607999816894515,0.0,0.004607999816894515,-0.2081514829226989,-0.20882530314480655,0.0006738202221076572,-0.19357828682295933,-0.1939501867495707,0.00037189992661137983,-0.0003019202954963173
FR,6,5,5,0.4000000059604645,0.9216000091552732,0.00460800004577637,0.0,0.00460800004577637,-0.17589646199866604,-0.17069838561448325,-0.005198076384182793,-0.2059936442129265,-0.1976653960343111,-0.00832824817861541,-0.003130171794432632
FR,8,5,5,0.5,1.0,0.0050000000000000044,0.0,0.0050000000000000044,-0.17444580005874447,-0.1729971490680431,-0.0014486509907013778,-0.18153155915013533,-0.1781510746452909,-0.003380484504844433,-0.0019318335141430502
FR,9,5,5,0.6000000238418579,0.9215999633789023,0.004607999816894515,0.0,0.004607999816894515,-0.1953654062902796,-0.19627549224984228,0.0009100859595626842,-0.18426811554701533,-0.1832644550525895,-0.0010036604944258232,-0.00191374645398849
RL,6,5,5,0.4000000059604645,0.9216000091552732,0.00460800004577637,0.0,0.00460800004577637,-0.17640302072028693,-0.17132815950165292,-0.005074861218634014,-0.20953744424818968,-0.20123966242555408,-0.008297781822635603,-0.0032229206040015924
RL,8,5,5,0.5,1.0,0.0050000000000000044,0.0,0.0050000000000000044,-0.17477892212090268,-0.17341129962361157,-0.00136762249729111,-0.18515721261342202,-0.18272392699543905,-0.0024332856179829776,-0.0010656631206918833
RL,9,5,5,0.6000000238418579,0.9215999633789023,0.004607999816894515,0.0,0.004607999816894515,-0.19555643177632528,-0.1965129827080275,0.0009565509317022158,-0.18668035993849008,-0.1857642812756471,-0.0009160786628429896,-0.001872629594545195
RR,6,5,5,0.4000000059604645,0.9216000091552732,0.00460800004577637,0.0,0.00460800004577637,-0.21053084991636437,-0.20468682255707113,-0.005844027359293236,-0.21986719820731604,-0.2142487283850899,-0.005618469822226135,0.0002255575370671125
RR,8,5,5,0.5,1.0,0.0050000000000000044,0.0,0.0050000000000000044,-0.19722199210181746,-0.1953485522136051,-0.0018734398882123693,-0.1968509132030373,-0.1937190133519459,-0.0031318998510913854,-0.0012584599628790382
RR,9,5,5,0.6000000238418579,0.9215999633789023,0.004607999816894515,0.0,0.004607999816894515,-0.2084261838536457,-0.20909267890515465,0.0006664950515089529,-0.19506885290046788,-0.19536355274954162,0.00029469984907373736,-0.0003717952024352156
