leg,phase_bin,accepted_samples,rejected_samples,mean_phase,mean_shape,native_target_delta,bump_delta,target_delta,tracking_error_delta,realized_relative_delta,actual_delta,target_decomposition_error,actual_decomposition_error,debug_relation_error
FL,6,5,5,0.4000000059604645,0.9216000091552732,-0.01043260261976503,0.00460800004577637,-0.0058246025739886464,0.001578188381091767,0.00618618842686815,-0.004246414192896869,1.3877787807814457e-17,1.1275702593849246e-17,1.3877787807814457e-17
FL,8,5,5,0.5,1.0,-0.0068606658024815415,0.0050000000000000044,-0.001860665802481537,-0.0013843655099754326,0.0036156344900245716,-0.0032450313124569863,0.0,-1.6479873021779667e-17,0.0
FL,9,5,5,0.6000000238418579,0.9215999633789023,-0.0039341795947868685,0.004607999816894515,0.0006738202221076572,-0.0003019202954963173,0.00430607952139821,0.00037189992661137983,1.0408340855860843e-17,3.8163916471489756e-17,1.0408340855860843e-17
FR,6,5,5,0.4000000059604645,0.9216000091552732,-0.009806076429959149,0.00460800004577637,-0.005198076384182793,-0.003130171794432632,0.0014778282513437484,-0.00832824817861541,-1.3877787807814457e-17,-1.0408340855860843e-17,1.3877787807814457e-17
FR,8,5,5,0.5,1.0,-0.006448650990701382,0.0050000000000000044,-0.0014486509907013778,-0.0019318335141430502,0.0030681664858569547,-0.003380484504844433,0.0,-5.637851296924623e-18,0.0
FR,9,5,5,0.6000000238418579,0.9215999633789023,-0.0036979138573318415,0.004607999816894515,0.0009100859595626842,-0.00191374645398849,0.002694253362906034,-0.0010036604944258232,1.0408340855860843e-17,-1.5612511283791264e-17,1.0408340855860843e-17
RL,6,5,5,0.4000000059604645,0.9216000091552732,-0.009682861264410397,0.00460800004577637,-0.005074861218634014,-0.0032229206040015924,0.0013850794417747843,-0.008297781822635603,1.3877787807814457e-17,1.0408340855860843e-17,1.3877787807814457e-17
RL,8,5,5,0.5,1.0,-0.006367622497291114,0.0050000000000000044,-0.00136762249729111,-0.0010656631206918833,0.003934336879308121,-0.0024332856179829776,0.0,1.5612511283791264e-17,0.0
RL,9,5,5,0.6000000238418579,0.9215999633789023,-0.00365144888519231,0.004607999816894515,0.0009565509317022158,-0.001872629594545195,0.0027353702223493308,-0.0009160786628429896,1.0408340855860843e-17,-1.0408340855860843e-17,1.0408340855860843e-17
RR,6,5,5,0.4000000059604645,0.9216000091552732,-0.01045202740506962,0.00460800004577637,-0.005844027359293236,0.0002255575370671125,0.004833557582843495,-0.005618469822226135,1.3877787807814457e-17,-1.1275702593849246e-17,1.3877787807814457e-17
RR,8,5,5,0.5,1.0,-0.006873439888212374,0.0050000000000000044,-0.0018734398882123693,-0.0012584599628790382,0.003741540037120966,-0.0031318998510913854,0.0,2.2551405187698492e-17,0.0
RR,9,5,5,0.6000000238418579,0.9215999633789023,-0.003941504765385573,0.004607999816894515,0.0006664950515089529,-0.0003717952024352156,0.00423620461445931,0.00029469984907373736,1.0408340855860843e-17,0.0,1.0408340855860843e-17
