t_wall,context,x,y,action_id,hold_override,emp_age_s,proj_age_s,theta_age_s,emp_seq,emp_vx,emp_yaw_rate,emp_body_h,emp_clearance,emp_enable,proj_seq,proj_vx,proj_yaw_rate,proj_body_h,proj_clearance,proj_enable,out_seq,out_vx,out_yaw_rate,out_body_h,out_clearance,out_enable,delta_vx,delta_yaw_rate,delta_body_h,delta_clearance,j7_accept,j7_reason,j7_source
1785198615.123752,flat,0.000000,0.000000,1,0,0.002345,0.002283,0.002230,5200001,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200001,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200001,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785198615.173697,flat,0.000000,0.000000,1,0,0.002055,0.001977,0.001911,5200003,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200003,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200003,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785198615.223845,flat,0.000000,0.000000,1,0,0.002418,0.002362,0.002311,5200005,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200005,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200005,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785198615.273771,flat,0.000000,0.000000,1,0,0.001990,0.001921,0.001868,5200007,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200007,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200007,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785198615.323696,flat,0.000000,0.000000,1,0,0.002360,0.002299,0.002247,5200009,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200009,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200009,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785198615.373738,flat,0.000000,0.000000,1,0,0.002090,0.002018,0.001938,5200011,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200011,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200011,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785198615.423831,flat,0.000000,0.000000,1,0,0.002118,0.002042,0.001989,5200013,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200013,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200013,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785198615.473684,flat,0.000000,0.000000,1,0,0.002219,0.002158,0.002106,5200015,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200015,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200015,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785198615.523839,flat,0.000000,0.000000,1,0,0.002295,0.002229,0.002176,5200017,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200017,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200017,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785198615.573758,flat,0.000000,0.000000,1,0,0.001855,0.001743,0.001636,5200019,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200019,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200019,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
