packet_index,sim_time,wall_elapsed,command,expected_delta,leg,leg_index,phase,swing,shape,bump,target_z,actual_z,tracking_error,base_z,roll_deg,pitch_deg,yaw_deg,base_vz
1,49.96825,2.5987625122070312e-05,0.045,0.0,FL,0,0.0,0,0.0,0.0,-0.32153860485199703,-0.32153860485199703,0.0,0.3256763952433575,0.07734247258031153,-0.2080306843363247,-0.05213732889155711,-0.08927441864349846
1,49.96825,2.5987625122070312e-05,0.045,0.0,FR,1,0.10000000149011612,1,0.12960000343322756,0.0,0.0011350002977252086,-0.3211385053356121,-0.32227350563333734,0.3256763952433575,0.07734247258031153,-0.2080306843363247,-0.05213732889155711,-0.08927441864349846
1,49.96825,2.5987625122070312e-05,0.045,0.0,RL,2,0.10000000149011612,1,0.12960000343322756,0.0,0.0011350002977252086,-0.32169078633362985,-0.3228257866313551,0.3256763952433575,0.07734247258031153,-0.2080306843363247,-0.05213732889155711,-0.08927441864349846
1,49.96825,2.5987625122070312e-05,0.045,0.0,RR,3,0.0,0,0.0,0.0,-0.32157530834780906,-0.32157530834780906,0.0,0.3256763952433575,0.07734247258031153,-0.2080306843363247,-0.05213732889155711,-0.08927441864349846
2,49.986,0.07095217704772949,0.045,0.0,FL,0,0.0,0,0.0,0.0,-0.3229932573315441,-0.3229932573315441,0.0,0.3249582077695505,0.39697351930571295,-0.7538748772314586,-0.26826668578614615,0.09537948171515143
2,49.986,0.07095217704772949,0.045,0.0,FR,1,0.20000000298023224,1,0.40960000915527345,0.0,-0.0018399993133544719,-0.27359851914019173,-0.27175851982683724,0.3249582077695505,0.39697351930571295,-0.7538748772314586,-0.26826668578614615,0.09537948171515143
2,49.986,0.07095217704772949,0.045,0.0,RL,2,0.20000000298023224,1,0.40960000915527345,0.0,-0.0018399993133544719,-0.2860461315536379,-0.2842061322402834,0.3249582077695505,0.39697351930571295,-0.7538748772314586,-0.26826668578614615,0.09537948171515143
2,49.986,0.07095217704772949,0.045,0.0,RR,3,0.0,0,0.0,0.0,-0.32285823287618964,-0.32285823287618964,0.0,0.3249582077695505,0.39697351930571295,-0.7538748772314586,-0.26826668578614615,0.09537948171515143
3,50.00625,0.15178608894348145,0.045,0.0,FL,0,0.0,0,0.0,0.0,-0.3227989184254148,-0.3227989184254148,0.0,0.32688621420936764,0.13642088591063364,-0.619387246664592,-0.4961473823104104,0.07252877273924098
3,50.00625,0.15178608894348145,0.045,0.0,FR,1,0.30000001192092896,1,0.7056000320434566,0.0,-0.01606500097632411,-0.19574829820729858,-0.17968329723097448,0.32688621420936764,0.13642088591063364,-0.619387246664592,-0.4961473823104104,0.07252877273924098
3,50.00625,0.15178608894348145,0.045,0.0,RL,2,0.30000001192092896,1,0.7056000320434566,0.0,-0.01606500097632411,-0.22059188638776614,-0.20452688541144204,0.32688621420936764,0.13642088591063364,-0.619387246664592,-0.4961473823104104,0.07252877273924098
3,50.00625,0.15178608894348145,0.045,0.0,RR,3,0.0,0,0.0,0.0,-0.32400679091558604,-0.32400679091558604,0.0,0.32688621420936764,0.13642088591063364,-0.619387246664592,-0.4961473823104104,0.07252877273924098
4,50.0265,0.23315811157226562,0.045,0.0,FL,0,0.0,0,0.0,0.0,-0.3255377570670973,-0.3255377570670973,0.0,0.32945269584316106,-1.6608741741261819,0.2219388075244247,-0.5426033036366721,0.15748724142261017
4,50.0265,0.23315811157226562,0.045,0.0,FR,1,0.4000000059604645,1,0.9216000091552732,0.0,-0.04544000017166137,-0.13866723752655835,-0.09322723735489699,0.32945269584316106,-1.6608741741261819,0.2219388075244247,-0.5426033036366721,0.15748724142261017
4,50.0265,0.23315811157226562,0.045,0.0,RL,2,0.4000000059604645,1,0.9216000091552732,0.0,-0.04544000017166137,-0.1620513144920498,-0.11661131432038843,0.32945269584316106,-1.6608741741261819,0.2219388075244247,-0.5426033036366721,0.15748724142261017
4,50.0265,0.23315811157226562,0.045,0.0,RR,3,0.0,0,0.0,0.0,-0.326625338710055,-0.326625338710055,0.0,0.32945269584316106,-1.6608741741261819,0.2219388075244247,-0.5426033036366721,0.15748724142261017
5,50.04875,0.3241250514984131,0.045,0.0,FL,0,0.0,0,0.0,0.0,-0.32792817146168557,-0.32792817146168557,0.0,0.33241438076976254,-1.5380590053195058,1.48176217525491,-0.3288279106355861,0.08416544012576628
5,50.04875,0.3241250514984131,0.045,0.0,FR,1,0.5,1,1.0,0.0,-0.0906249977648258,-0.1227675472679316,-0.0321425495031058,0.33241438076976254,-1.5380590053195058,1.48176217525491,-0.3288279106355861,0.08416544012576628
