t_wall,context,x,y,action_id,hold_override,emp_age_s,proj_age_s,theta_age_s,emp_seq,emp_vx,emp_yaw_rate,emp_body_h,emp_clearance,emp_enable,proj_seq,proj_vx,proj_yaw_rate,proj_body_h,proj_clearance,proj_enable,out_seq,out_vx,out_yaw_rate,out_body_h,out_clearance,out_enable,delta_vx,delta_yaw_rate,delta_body_h,delta_clearance,j7_accept,j7_reason,j7_source
1785195273.899536,flat,0.000000,0.000000,1,0,0.003421,0.003361,0.003310,5100001,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100001,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100001,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195273.949548,flat,0.000000,0.000000,1,0,0.003144,0.003063,0.002994,5100003,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100003,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100003,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195273.999571,flat,0.000000,0.000000,1,0,0.003347,0.003286,0.003232,5100005,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100005,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100005,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195274.049636,flat,0.000000,0.000000,1,0,0.003470,0.003392,0.003339,5100007,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100007,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100007,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195274.099541,flat,0.000000,0.000000,1,0,0.003418,0.003357,0.003304,5100009,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100009,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100009,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195274.149495,flat,0.000000,0.000000,1,0,0.003313,0.003252,0.003198,5100011,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100011,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100011,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195274.199555,flat,0.000000,0.000000,1,0,0.003442,0.003385,0.003335,5100013,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100013,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100013,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195274.249587,flat,0.000000,0.000000,1,0,0.003508,0.003450,0.003400,5100015,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100015,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100015,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195274.299556,flat,0.000000,0.000000,1,0,0.003124,0.003045,0.002975,5100017,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100017,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100017,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195274.349600,flat,0.000000,0.000000,1,0,0.003200,0.003124,0.003055,5100019,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100019,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100019,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195274.399543,flat,0.000000,0.000000,1,0,0.003216,0.003111,0.003025,5100021,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100021,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100021,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195274.449552,flat,0.000000,0.000000,1,0,0.003421,0.003362,0.003300,5100023,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100023,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100023,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195274.499527,flat,0.000000,0.000000,1,0,0.003386,0.003328,0.003277,5100025,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100025,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100025,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195274.549528,flat,0.000000,0.000000,1,0,0.003355,0.003291,0.003240,5100027,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100027,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100027,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195274.599576,flat,0.000000,0.000000,1,0,0.003486,0.003428,0.003376,5100029,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100029,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100029,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195274.649634,flat,0.000000,0.000000,1,0,0.003472,0.003414,0.003363,5100031,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100031,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100031,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195274.699493,flat,0.000000,0.000000,1,0,0.003369,0.003309,0.003258,5100033,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100033,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100033,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
