t_wall,context,x,y,action_id,hold_override,emp_age_s,proj_age_s,theta_age_s,emp_seq,emp_vx,emp_yaw_rate,emp_body_h,emp_clearance,emp_enable,proj_seq,proj_vx,proj_yaw_rate,proj_body_h,proj_clearance,proj_enable,out_seq,out_vx,out_yaw_rate,out_body_h,out_clearance,out_enable,delta_vx,delta_yaw_rate,delta_body_h,delta_clearance,j7_accept,j7_reason,j7_source
1785195293.811773,flat,0.000000,0.000000,1,0,0.028187,0.028125,0.028068,5200000,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200000,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200000,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785195293.862954,flat,0.000000,0.000000,1,0,0.003860,0.003765,0.003698,5200003,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200003,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200003,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785195293.911064,flat,0.000000,0.000000,1,0,0.001707,0.001601,0.001491,5200005,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200005,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200005,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785195293.961027,flat,0.000000,0.000000,1,0,0.002221,0.002162,0.002111,5200007,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200007,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200007,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785195294.011053,flat,0.000000,0.000000,1,0,0.001699,0.001634,0.001583,5200009,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200009,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200009,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785195294.061130,flat,0.000000,0.000000,1,0,0.001795,0.001673,0.001561,5200011,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200011,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200011,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785195294.111099,flat,0.000000,0.000000,1,0,0.002373,0.002299,0.002246,5200013,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200013,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200013,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785195294.161065,flat,0.000000,0.000000,1,0,0.002213,0.002153,0.002102,5200015,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200015,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200015,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785195294.211558,flat,0.000000,0.000000,1,0,0.002523,0.002445,0.002363,5200017,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200017,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200017,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785195294.261079,flat,0.000000,0.000000,1,0,0.001385,0.001295,0.001225,5200019,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200019,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200019,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785195294.311083,flat,0.000000,0.000000,1,0,0.002358,0.002284,0.002231,5200021,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200021,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200021,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785195294.361175,flat,0.000000,0.000000,1,0,0.002366,0.002304,0.002252,5200023,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200023,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200023,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785195294.411041,flat,0.000000,0.000000,1,0,0.002006,0.001942,0.001889,5200025,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200025,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200025,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785195294.461057,flat,0.000000,0.000000,1,0,0.002258,0.002198,0.002146,5200027,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200027,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200027,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785195294.511157,flat,0.000000,0.000000,1,0,0.002086,0.002004,0.001933,5200029,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200029,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200029,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785195294.561107,flat,0.000000,0.000000,1,0,0.001809,0.001678,0.001569,5200031,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200031,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200031,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785195294.611102,flat,0.000000,0.000000,1,0,0.002333,0.002227,0.002137,5200033,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200033,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200033,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785195294.661068,flat,0.000000,0.000000,1,0,0.002341,0.002284,0.002234,5200035,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200035,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200035,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785195294.711134,flat,0.000000,0.000000,1,0,0.002246,0.002185,0.002132,5200037,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200037,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200037,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785195294.761021,flat,0.000000,0.000000,1,0,0.002198,0.002139,0.002088,5200039,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200039,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200039,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785195294.811129,flat,0.000000,0.000000,1,0,0.001844,0.001731,0.001625,5200041,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200041,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200041,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785195294.861023,flat,0.000000,0.000000,1,0,0.002283,0.002225,0.002175,5200043,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200043,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200043,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785195294.911163,flat,0.000000,0.000000,1,0,0.002381,0.002319,0.002266,5200045,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200045,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200045,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785195294.961025,flat,0.000000,0.000000,1,0,0.002219,0.002158,0.002105,5200047,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200047,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200047,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785195295.011036,flat,0.000000,0.000000,1,0,0.002164,0.002081,0.002010,5200049,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200049,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200049,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785195295.061102,flat,0.000000,0.000000,1,0,0.001994,0.001913,0.001843,5200051,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200051,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200051,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785195295.111063,flat,0.000000,0.000000,1,0,0.002328,0.002270,0.002220,5200053,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200053,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200053,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
1785195295.161103,flat,0.000000,0.000000,1,0,0.002208,0.002148,0.002094,5200055,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5200055,0.00000000,0.00000000,0.32000000,0.06000000,1.00000000,5200055,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,0.00000000,0.00000000,0.00000000,0.01500000,0,delta_clearance_too_large,empirical
